"fulladdr","DETLOC","Name","Address","City","County","State","Zip","Circuit","AOR","Docket","Type","Type.Detailed","ICE.Funded","Male.Female","Levels.A.B.C.D","Capacity","Current.FY.Utilization","Population.Count","Date.of.Last.Use","Date.of.First.Use","FY18.Max.Population.Count","FY18.ADP","FY17.ADP","FY16.ADP","FY15.ADP","FY14.ADP","FY13.ADP","FY12.ADP","FY11.ADP","FY10.ADP","FY09.ADP","X2016.11.01","X2016.12.01","X2017.01.01","X2017.02.01","X2017.03.01","X2017.04.01","X2017.05.01","X2017.06.01","X2017.07.01","X2017.08.01","X2017.09.01","X2017.10.01","X2017.11.01","FY18.ALOS","FY17.ALOS","FY16.ALOS","FY15.ALOS","FY18.Facility.Bookins","FY17.Facility.Bookins","FY16.Facility.Bookins","FY15.Facility.Bookins","FY18.Initial.Bookins","FY17.Initial.Bookins","FY16.Initial.Bookins","FY15.Initial.Bookins","FY18.Initial.Bookin.ADP","FY17.Initial.Bookin.ADP","FY16.Initial.Bookin.ADP","FY15.Initial.Bookin.ADP","FY18.Non.Criminal","FY18.Criminal","FY17.Non.Criminal","FY17.Criminal","FY16.Non.Criminal","FY16.Criminal","FY15.Non.Criminal","FY15.Criminal","Level.A","Level.B","Level.C","Level.D","Male.Crim","Male.Non.Crim","Female.Crim","Female.Non.Crim","ICE.Threat.Level.1","ICE.Threat.Level.2","ICE.Threat.Level.3","No.ICE.Threat.Level","Mandatory","Non.Mandatory","Medical.Provider.Onsite.","Provider.Type","Facility.Operator","Facility.Owner","Best.Known.Contract.Initiation.Date","Best.Known.Contract.Expiration.Date","Guaranteed.Minimum","Per.Diem.Rate.Detailed","ICE.Telephone.Services","Authorization.Status","Authorizing.Authority","Over.Under.72","Contractually.Obligated.Inspection.Standard","PREA.Standard.2.11.Status","Current.Inspection.Frequency","Last.Inspection.Type","Last.Inspection.Standard","Last.Inspection.Pre.Occ.","Last.Inspection.Rating...Final","Last.Inspection.Rating...Recommended","Last.Inspection.Date","Second.to.Last.Inspection.Type","Second.to.Last.Inspection.Standard","Second.to.Last.Inspection.Pre.Occ.","Second.to.Last.Rating","Second.to.Last.Inspection.Date","Next.Inspection.Date","Next.Inspection.Standard","Next.Inspection.Type","Next.Insp.Pre.Occ.","CY17.Rating","CY16.Rating","CY15.RATING","CY14.RATING","CY13.RATING","CY12.RATING","CY11.RATING","CY10.RATING","EMDD.Notes","EMDD.USE","ACA","NCCHC","JCHCO","DSM.Assigned.","DSM.Assignment.Type","FY18.Calendar.Days.in.Use","FY18.Possible.Days","FY18...of.Days.in.Use","FY18.Total.Mandays","FY17.Calendar.Days.in.Use","FY17...of.Days.in.Use","FY17.Total.Mandays","FY17.Max.Pop.Count","street","zip","city","state","lat","lon","score","prenum","number","precision","street1","street2"
"1801 W. I-20 BIG SPRING TX 79720","BSNTRTX","BSCC INTERSTATE UNIT","1801 W. I-20","BIG SPRING","HOWARD","TX","79720","5","DAL","DAL","BOP","BOP","No","Female/Male","A, B, C, D","AS NEEDED","","0","08.03.2007","13.01.2004","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","BOP","GEO","","","","","","NOT INSPECTED","BOP","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","I- 20","79720","Big Spring","TX",32.261565,-101.498192,0.854,"","1801","range",NA,NA
"18100 STATE ROUTE 4 MARYSVILLE OH 43040","FIVECOH","FIVE COUNTY JOINT","18100 STATE ROUTE 4","MARYSVILLE","UNION","OH","43040","6","DET","CLE","IGSA","JUVENILE","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","18.06.2003","09.08.2000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","NOT INSPECTED","JFRMU","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","State Rte 4","43040","Marysville","OH",40.264072,-83.363439,1,"","18100","range",NA,NA
"182-22 150TH AVE JAMAICA NY 11413","QUEICDF","INS/WACKENHUT CON/FAC, NY","182-22 150TH AVE","JAMAICA","QUEENS","NY","11413","2","NYC","VRK","Other","Other","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","14.06.2005","03.11.1990","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","GEO","","","","","","","NOT INSPECTED","DMCP","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","150th Ave","11413","Springfield Gardens","NY",40.657137,-73.765714,0.78,"182-","22","range",NA,NA
"18201 SOUTHWEST 12TH STREET MIAMI FL 33194","KRO","KROME NORTH SERVICE PROCESSING CENTER","18201 SOUTHWEST 12TH STREET","MIAMI","MIAMI-DADE","FL","33194","11","MIA","KRO","SPC","SPC","Yes","Male","A, B, C, D","611","0.00%","0","10.09.2017","03.11.1983","0","0","551","558","452","519","568","578","607","531","609","631","563","597","651","614","566","540","558","575","600","113","0","0","27","20","25","24","1504","11063","7540","6810","566","2335","1572","2092","490","449","351","358","0","0","250","301","194","364","85","367","0","0","0","0","0","0","0","0","0","0","0","0","0","0","YES","IHSC","AGS","ICE","01.05.2014","30.04.2024","450","b)(4)","Talton Full Service","AUTHORIZED","DMCP","Over 72","PBNDS 2011","PREA","Annual","Regular","PBNDS 2011","No","Meets Standard","Meets Standard","06.04.2017","Regular","PBNDS 2011","No","Meets Standard","31.03.2016","","PBNDS 2011","Regular","No","Meets Standard","Meets Standard","Meets Standard","Meets Standard","Meets Standard","Meets Standard","Meets Standard","Meets Standard","","No","YES","YES","NO","Yes","PERMANENT","0","400","0.00%","0","345","95.00%","200940","1022","SW 12th Ln","33194","Miami","FL",25.75506,-80.437893,0.631,"","14999","street",NA,NA
"18201 SW 12TH ST MIAMI FL 33194","KROHOLD","KROME HOLD ROOM","18201 SW 12TH ST","MIAMI","DADE","FL","33194","11","MIA","","Other","HOLD","Yes","Female/Male","","AS NEEDED","","0","01.11.2017","10.07.2017","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","","","302","351","3","0","71","82","1","0","149","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","NOT INSPECTED","DMCP","Under 72","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","","","","No","","7","400","2.00%","91","7","2.00%","38","27","SW 12th Ln","33194","Miami","FL",25.75506,-80.437893,0.651,"","14999","street",NA,NA
"1825 COUNTY SERVICES PARKWAY MARIETTA GA 30060","COBBJGA","COBB COUNTY JAIL","1825 COUNTY SERVICES PARKWAY","MARIETTA","COBB","GA","30060","11","ATL","ATL","IGSA","IGSA","Yes","Male","A, B, C, D","AS NEEDED","","0","04.11.2017","15.02.2005","15","7","4","1","1","1","2","5","8","12","17","0","3","3","6","4","6","5","5","4","5","8","7","4","3","3","2","3","140","564","117","141","139","551","117","140","140","87","20","24","2","5","1","3","0","1","0","1","0","4","3","0","4","2","0","0","1","3","1","2","3","4","YES","WELLSTAR","COUNTY (SHERIFF)","COUNTY","30.09.2008","","","$42.58","","AUTHORIZED","DMCP","Under 72","NDS","","Annual","ORSA","NDS","No","Acceptable","","15.09.2017","ORSA","NDS","No","Acceptable","16.09.2016","","NDS","ORSA","No","Acceptable","Acceptable","Acceptable","Acceptable","Acceptable","","Acceptable","Superior","","No","NO","YES","NO","No","NONE","33","400","8.00%","2766","311","85.00%","1490","16","County Services Pkwy","30008","Marietta","GA",33.899167,-84.574089,0.635,"","2235","street",NA,NA
"18300 CALIFORNIA 18 APPLE VALLEY CA 92807","STMARCA","ST MARY MEDICAL CENTER","18300 CALIFORNIA 18","APPLE VALLEY","COUNTY","CA","92807","9","LOS","ADE","Other","HOSPITAL","No","Female/Male","A, B, C, D","AS NEEDED","","0","22.10.2017","09.07.2014","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","5","7","6","5","13","21","26","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","NOT INSPECTED","OTHER","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","","","","No","","3","400","1.00%","57","85","23.00%","126","5","Viola St","92807","Anaheim Hills","CA",33.869541,-117.808245,0.49,"","1898","street",NA,NA
"1835 ASSEMBLY DRIVE, ROOM 1569 COLUMBIA SC 29201","COAHOLD","COLUMBIA, SC HOLDROOM","1835 ASSEMBLY DRIVE, ROOM 1569","COLUMBIA","RICHLAND","SC","29201","4","ATL","ATL","Other","HOLD","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","25.07.2017","27.08.2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","87","529","83","136","58","410","73","116","53","44","10","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","NOT INSPECTED","DMCP","Under 72","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","","","","No","","0","400","0.00%","0","9","2.00%","10","2","Assembly St","29201","Columbia","SC",34.009941,-81.039405,0.734,"","1835","range",NA,NA
"185 EAST MICHIGAN AVENUE BATTLE CREEK MI 49014","CALHOMI","CALHOUN COUNTY CORRECTIONAL CENTER","185 EAST MICHIGAN AVENUE","BATTLE CREEK","BRANCH","MI","49014","6","DET","DET","IGSA","IGSA","Yes","Female/Male","A, B, C, D","125","158.00%","172","04.11.2017","25.07.1995","211","197","183","148","86","127","118","162","163","170","190","157","186","179","198","195","184","176","169","165","218","198","200","173","69","50","56","42","292","1435","899","752","101","664","411","313","99","95","65","35","83","114","74","109","61","87","16","70","63","60","42","33","98","54","17","29","55","30","29","83","114","83","YES","CORIZON","COUNTY (SHERIFF)","COUNTY","21.08.2007","","75","75 (GM for DEAPDMI and CALHOMI combined); $72.00 (1-75), $40.00 (76-125), $64.27 (126+)","Pro-bono Platform (Talton)","AUTHORIZED","DMCP","Over 72","NDS","Standard 2.11","Annual","Regular","NDS","No","Acceptable","Acceptable","02.02.2017","Regular","NDS","No","Acceptable","28.01.2016","","NDS","Regular","No","Acceptable","Acceptable","Acceptable","Acceptable","Acceptable","Acceptable","Acceptable","Superior","2008 DEFICIENT","Yes","NO","YES","NO","Yes","PERMANENT","35","400","9.00%","78903","372","102.00%","66758","230","E Michigan Ave","49014","Battle Creek","MI",42.315524,-85.176253,0.938,"","185","range",NA,NA
"1850 COPPER LOOP LAS CRUCES NM 88004","DONAANM","DONA ANA COUNTY DETENTION CENTER","1850 COPPER LOOP","LAS CRUCES","DONA ANA","NM","88004","10","ELP","ELP","IGSA","IGSA","Yes","Female/Male","A","AS NEEDED","","0","05.02.2017","08.05.2001","0","0","1","0","0","0","0","0","0","0","0","1","7","6","0","0","0","0","0","0","0","0","0","0","","24","","","0","18","0","0","0","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","COUNTY","","","","","$62.00","","NOT INSPECTED","DMCP","Under 72","","","N/A","Regular","NDS","No","Superior","Deficient","09.12.2008","Regular","NDS","No","Superior","14.12.2007","","N/A","N/A","No","","","","","","","","","2007 and 2008 DEFICIENT","Yes","NO","NO","NO","No","","0","400","0.00%","0","87","24.00%","426","11","Copper Loop","88005",NA,NA,32.306066,-106.805269,0.805,"","1850","range",NA,NA
"1850 LEWIS AVENUE NORTH CHICAGO IL 60064","NOCPDIL","NORTH CHICAGO POLICE DEPARTMENT","1850 LEWIS AVENUE","NORTH CHICAGO","LAKE","IL","60064","7","CHI","CHI","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","23.03.2004","16.10.1985","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","CITY","","","","","","","NOT INSPECTED","DMCP","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","Lewis Ave","60064","North Chicago","IL",42.326912,-87.856023,0.951,"","1850","range",NA,NA
"1861 N.W. SOUTH RIVER DRIVE MIAMI FL 33125","HVHOSFL","WINDMOOR HOSPITAL (HARBORVIEW)","1861 N.W. SOUTH RIVER DRIVE","MIAMI","MIAMI-DADE","FL","33125","11","MIA","KRO","Other","HOSPITAL","No","Female/Male","A, B, C, D","AS NEEDED","","0","03.10.2000","06.07.1996","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","NOT INSPECTED","OTHER","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","NW South River Dr","33125","Miami","FL",25.784623,-80.225672,0.818,"","1861","range",NA,NA
"1887 MONTEREY ROAD SAN JOSE CA 95112","SNJHOLD","SNJ HOLD ROOM","1887 MONTEREY ROAD","SAN JOSE","SANTA CLARA","CA","95112","9","SFR","SFR","Other","HOLD","Yes","Male","A, B, C, D","AS NEEDED","","0","19.07.2016","16.01.2009","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","0","0","1","697","596","0","1","683","579","11","40","123","75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","FEDERAL","","","","","","","NOT INSPECTED","DMCP","Under 72","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","Monterey Rd","95112","San Jose","CA",37.307301,-121.865129,0.816,"","1887","range",NA,NA
"19 CONGRESS STREET BELFAST ME 4915","WALDOME","WALDO COUNTY JAIL","19 CONGRESS STREET","BELFAST","WALDO","ME","4915","1","BOS","POM","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","20.12.2005","20.12.2005","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","COUNTY","","","","","","","NOT INSPECTED","DMCP","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","Congress St","44287","Congress","OH",40.97169,-82.109184,0.564,"","19","range",NA,NA
"1900 SIMLER BIG SPRING TX 79720","BOPBIG","BIG SPRING FEDERAL CORRECTIONAL INSTITUTE","1900 SIMLER","BIG SPRING","HOWARD","TX","79720","5","DAL","DAL","BOP","BOP","No","Female/Male","A, B, C, D","AS NEEDED","","0","25.03.2007","06.05.1996","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","BOP","","","","","Not ICE Funded","","NOT INSPECTED","BOP","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","Simler Dr","79720","Big Spring","TX",32.228678,-101.50651,0.862,"","1900","range",NA,NA
"1900 W. SUNSHINE SPRINGFIELD MO 65808","BOPSPG","SPRINGFIELD FEDERAL MEDICAL CENTER","1900 W. SUNSHINE","SPRINGFIELD","GREENE","MO","65808","8","CHI","SPG","BOP","BOP","No","Male","B, C, D","AS NEEDED","","0","12.03.2017","15.06.1980","0","0","0","4","2","1","0","1","2","7","5","0","0","0","0","0","0","0","0","0","0","0","0","0","5","39","86","42","1","5","18","11","1","5","18","11","1","3","7","3","0","0","0","0","0","4","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","BOP","","","","","Not ICE Funded","","NOT INSPECTED","BOP","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","44","12.00%","44","1","W Sunshine St","65807",NA,NA,37.182698,-93.329985,0.64,"","1902","street",NA,NA
"1900 WEST POLK ST CHICAGO IL 60612","CCHOSIL","COOK COUNTY HOSPITAL","1900 WEST POLK ST","CHICAGO","COOK","IL","60612","7","CHI","CHI","Other","HOSPITAL","No","Female/Male","A, B, C, D","AS NEEDED","","0","08.02.2006","03.02.2006","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","HOSPITAL","","","","","","","NOT INSPECTED","OTHER","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","W Polk St","60612","Chicago","IL",41.871515,-87.673763,0.937,"","1900","range",NA,NA
"1901 E BRIDGE STREET BRIGHTON CO 80601","ADAMSCO","ADAMS COUNTY JAIL","1901 E BRIDGE STREET","BRIGHTON","ADAMS","CO","80601","10","DEN","DEN","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","20.03.2008","22.01.1991","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","COUNTY","","","","","","","NOT INSPECTED","DMCP","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","E Bridge St","80601","Brighton","CO",39.986795,-104.799317,0.855,"","1901","range",NA,NA
"1901 NORTHEAST F STREET GRANTS PASS OR 97526","JOSEPOR","JOSEPHINE COUNTY JAIL","1901 NORTHEAST F STREET","GRANTS PASS","JOSEPHINE","OR","97526","9","SEA","MED","USMS IGA","USMS IGA","Yes","Male","A, B, C, D","31","7.00%","0","31.10.2017","19.12.1995","6","2","2","1","1","7","6","5","5","4","7","1","1","1","1","1","1","2","1","4","4","2","2","0","2","6","4","5","25","111","62","86","8","42","19","38","6","8","5","5","0","2","0","2","0","1","0","1","0","0","1","1","2","0","0","0","0","1","0","0","2","0","YES","CONMED","COUNTY (SHERIFF)","COUNTY","06.04.2000","","","$100.00","Pro-bono Platform (Talton)","AUTHORIZED","DMCP","Over 72","Local Standards","","Annual","ORSA","NDS","No","Acceptable","","14.09.2017","ORSA","NDS","No","Acceptable","06.09.2016","","NDS","ORSA","No","Acceptable","Acceptable","Acceptable","Acceptable","Acceptable","","Acceptable","Superior","2008 and 2009 DEFICIENT","Yes","NO","NO","NO","No","NONE","31","400","8.00%","880","290","79.00%","667","10","NE F St","97526","Grants Pass","OR",42.438415,-123.31303,0.743,"","899","street",NA,NA
"1910 PIONEER AVENUE CHEYENNE WY 82001","LARCOWY","LARAMIE COUNTY JAIL","1910 PIONEER AVENUE","CHEYENNE","LARAMIE","WY","82001","10","DEN","DEN","USMS IGA","USMS IGA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","03.08.2010","26.04.1991","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","COUNTY","","20.02.2002","","","$75.00","","NOT INSPECTED","DMCP","Under 72","","","N/A","Regular","NDS","No","Superior","Deficient","14.07.2009","Regular","NDS","No","Superior","27.06.2008","","N/A","N/A","No","","","","","","","","","2008 DEFICIENT","Yes","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","Pioneer Ave","82001","Cheyenne","WY",41.134613,-104.819372,0.936,"","1910","range",NA,NA
"1921 STATE STREET ALAMOSA CO 81101","ALMHOLD","ALAMOSA HOLDROOM","1921 STATE STREET","ALAMOSA","ALAMOSA","CO","81101","10","DEN","DEN","Other","HOLD","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","26.10.2012","26.02.2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","32","138","36","38","14","64","31","35","15","6","4","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","NOT INSPECTED","DMCP","Under 72","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","State Ave","81101","Alamosa","CO",37.451871,-105.865546,0.839,"","1921","range",NA,NA
"1923 VERMONT AVENUE NORTHWEST WASHINGTON DC 20001","DCDOCDC","DC DEPARTMENT OF CORRECTIONS","1923 VERMONT AVENUE NORTHWEST","WASHINGTON","DISTRICT OF COLUMBIA","DC","20001","4","WAS","WAS","USMS IGA","USMS IGA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","03.11.2009","09.03.1992","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","CCA","","","","","b)(4)","","NOT INSPECTED","DMCP","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","Vermont Ave NW","20001","Washington","DC",38.916121,-77.025759,0.93,"","1923","range",NA,NA
"1925 WEST HIGHWAY 85 DILLEY TX 78017","STFRCTX","SOUTH TEXAS FAMILY RESIDENTIAL CENTER","1925 WEST HIGHWAY 85","DILLEY","FRIO","TX","78017","5","SNA","LRD","IGSA","FAMILY","Yes","Female/Male","A","2400","65.00%","1593","04.11.2017","19.12.2014","1715","1553","994","1015","749","0","0","0","0","0","0","1454","1525","1246","1229","330","228","302","452","674","1247","1527","1549","1586","8","14","13","35","1443","25627","28882","8757","1137","20460","23158","3230","1192","832","850","251","1550","3","993","2","1013","2","745","4","1541","12","0","0","0","437","3","1113","0","0","3","1550","1534","19","YES","IHSC","CCA","COUNTY","","","2400","b)(4)","Talton Full Service","AUTHORIZED","JFRMU","Over 72","ICE Family Residential Standards","PREA","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","","","","No","","35","400","9.00%","621166","372","102.00%","362964","2046","State Hwy 85","78017","Dilley","TX",28.663086,-99.199027,0.878,"","1925","range",NA,NA
"1930 BEACH STREET BROADVIEW IL 60155","BSAHOLD","BROADVIEW SERVICE STAGING","1930 BEACH STREET","BROADVIEW","COOK","IL","60155","7","CHI","CHI","Other","STAGING","Yes","Female/Male","B, C, D","AS NEEDED","","0","09.10.2017","27.12.2011","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","776","7740","6930","6766","94","557","365","454","94","94","80","77","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","NOT INSPECTED","DMCP","Under 72","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","4","400","1.00%","46","5","1.00%","3","1","Beach St","60155","Broadview","IL",41.868633,-87.86559,0.942,"","1930","range",NA,NA
"1931 EAGAN STREET FAIRBANKS AK 99701","AKFAIRB","FAIRBANKS CORRECTIONAL CENTER","1931 EAGAN STREET","FAIRBANKS","FAIRBANKS NORTH STAR","AK","99701","9","SEA","ANC","IGSA","IGSA","Yes","Female/Male","B, C, D","AS NEEDED","","0","15.03.2017","24.02.1994","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","1","","","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","COUNTY (CORRECTIONS)","","","","","$134.90","","NOT INSPECTED","DMCP","Under 72","","","N/A","Regular","NDS","No","Superior","Acceptable","18.08.2009","Regular","NDS","No","Superior","08.08.2008","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","1","0.00%","1","1","Eagan Ave","99701","Fairbanks","AK",64.83458,-147.760399,0.845,"","1931","range",NA,NA
"1969 W OGDEN AVE CHICAGO IL 60612","CCHHSIL","COOK COUNTY HOSPITAL-JHS","1969 W OGDEN AVE","CHICAGO","COOK","IL","60612","7","CHI","","Other","HOSPITAL","No","Female/Male","","AS NEEDED","","0","01.09.2016","29.08.2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","4","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","NOT INSPECTED","OTHER","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","","","","No","","0","400","0.00%","0","0","0.00%","0","0","W Ogden Ave","60612","Chicago","IL",41.87305,-87.675943,0.938,"","1969","range",NA,NA
"1985 NE 51ST PLACE DES MOINES IA 50313","POLKJIA","POLK COUNTY JAIL","1985 NE 51ST PLACE","DES MOINES","POLK","IA","50313","8","SPM","OMA","USMS IGA","USMS IGA","Yes","Female/Male","A, B, C, D","AS NEEDED","","28","04.11.2017","21.04.1992","53","41","23","3","1","14","23","46","57","43","48","6","15","12","13","25","24","32","34","31","39","41","43","28","20","20","11","9","58","368","96","41","40","200","66","40","39","21","6","5","11","30","6","17","0","3","0","1","7","12","15","8","28","11","2","0","11","9","10","11","25","16","YES","COUNTY","COUNTY (SHERIFF)","COUNTY","10.05.2016","","","$105.00","Pro-bono Platform (Talton)","AUTHORIZED","DMCP","Over 72","Local Standards","","Annual","ORSA","NDS","No","Acceptable","","21.09.2017","ORSA","NDS","No","Acceptable","01.08.2016","","NDS","ORSA","No","Acceptable","Acceptable","Acceptable","","Acceptable","Acceptable","Acceptable","Superior","2007 and 2008 DEFICIENT","No","YES","NO","NO","No","NONE","35","400","9.00%","16400","372","102.00%","8553","47","NE 51st Pl","50313","Des Moines","IA",41.65433,-93.585344,0.905,"","1985","range",NA,NA
