award_id_piid	current_total_value_of_award	potential_total_value_of_award	recipient_name	recipient_parent_name	recipient_congressional_district	primary_place_of_performance_state_name	award_type	product_or_service_code_description	naics_description	domestic_or_foreign_entity	alaskan_native_owned_corporation_or_firm	american_indian_owned_business	indian_tribe_federally_recognized	native_hawaiian_owned_business	tribally_owned_business	veteran_owned_business	service_disabled_veteran_owned_business	woman_owned_business	women_owned_small_business	economically_disadvantaged_women_owned_small_business	joint_venture_women_owned_small_business	joint_venture_economic_disadvantaged_women_owned_small_bus	minority_owned_business	subcontinent_asian_asian_indian_american_owned_business	asian_pacific_american_owned_business	black_american_owned_business	hispanic_american_owned_business	native_american_owned_business	other_minority_owned_business	financial_year
70CDCR18FR0000081	3900	3900	"INDEPENDENT HARDWARE, INC."	INDEPENDENT HARDWARE INC.	1	PENNSYLVANIA	DELIVERY ORDER	"HARDWARE, COMMERCIAL"	OTHER COMMUNICATIONS EQUIPMENT MANUFACTURING	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2018
HSCETE14J00198	3906.5	3906.5	"NET DIRECT SYSTEMS, LLC"	NET DIRECT SYSTEMS  LLC	4	DISTRICT OF COLUMBIA	BPA CALL	INFORMATION TECHNOLOGY SUPPORT EQUIPMENT	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	t	f	f	f	f	f	f	f	f	f	f	f	2017
HSCETE16J00124	3906.5	3906.5	"NET DIRECT SYSTEMS, LLC"	NET DIRECT SYSTEMS  LLC	2	NORTH CAROLINA	BPA CALL	INFORMATION TECHNOLOGY SUPPORT EQUIPMENT	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	t	f	f	f	f	f	f	f	f	f	f	f	2016
HSCETE14J00198	3906.5	3906.5	"NET DIRECT SYSTEMS, LLC"	NET DIRECT SYSTEMS  LLC	2	DISTRICT OF COLUMBIA	BPA CALL	ADP SUPPORT EQUIPMENT	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	t	f	f	f	f	f	f	f	f	f	f	f	2014
HSCETE13J00071	3921.12	3921.12	"NET DIRECT SYSTEMS, LLC"	NET DIRECT SYSTEMS  LLC	4	DISTRICT OF COLUMBIA	BPA CALL	INFORMATION TECHNOLOGY SUPPORT EQUIPMENT	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	t	f	f	f	f	f	f	f	f	f	f	f	2017
HSCETE15J00231	3922.28	3922.28	"NET DIRECT SYSTEMS, LLC"	NET DIRECT SYSTEMS  LLC	2	ILLINOIS	BPA CALL	ADP SUPPORT EQUIPMENT	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	t	f	f	f	f	f	f	f	f	f	f	f	2015
HSCEMD16P00104	3927.92	3927.92	"FEENEY WIRELESS, LLC"	FEENEY WIRELESS LLC	4	LOUISIANA	PURCHASE ORDER	VIDEO RECORDING AND REPRODUCING EQUIPMENT	VIDEO TAPE AND DISC RENTAL	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2018
HSCEMD16P00104	3927.92	3927.92	"FEENEY WIRELESS, LLC"	FEENEY WIRELESS  LLC	4	LOUISIANA	PURCHASE ORDER	VIDEO RECORDING AND REPRODUCING EQUIPMENT	VIDEO TAPE AND DISC RENTAL	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2016
HSCETE16J00449	3928.04	3928.04	"AKIRA TECHNOLOGIES, INC"	AKIRA TECHNOLOGIES  INC	0	DISTRICT OF COLUMBIA	DELIVERY ORDER	INFORMATION TECHNOLOGY COMPONENTS	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	t	f	t	f	f	f	f	2016
70CMSD18FR0000105	3929.99	3929.99	"AUTOMATION AIDS, INC"	AUTOMATION AIDS INC.	7	NEW JERSEY	DELIVERY ORDER	MISCELLANEOUS OFFICE MACHINES	OFFICE SUPPLIES AND STATIONERY STORES		f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2018
HSCETC13F00024	3934.2	3934.2	"NET DIRECT SYSTEMS, LLC"	NET DIRECT SYSTEMS  LLC	4	DISTRICT OF COLUMBIA	BPA CALL	INFORMATION TECHNOLOGY SUPPORT EQUIPMENT	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	t	f	f	f	f	f	f	f	f	f	f	f	2017
70CDCR18P00000098	3940	3940	AUTOCLEAR LLC	CONTROL SCREENING L.L.C	11	TEXAS	PURCHASE ORDER	MAINT/REPAIR/REBUILD OF EQUIPMENT- OFFICE MACHINES/TEXT PROCESSING SYS/VISIBLE RECORD EQUIPMENT	"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS"	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2018
HSCETE13J00070	3940.74	3940.74	"NET DIRECT SYSTEMS, LLC"	NET DIRECT SYSTEMS  LLC	4	TEXAS	BPA CALL	INFORMATION TECHNOLOGY SUPPORT EQUIPMENT	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	t	f	f	f	f	f	f	f	f	f	f	f	2017
HSCETC14J00096	3949.3	3949.3	"NET DIRECT SYSTEMS, LLC"	NET DIRECT SYSTEMS  LLC	2	MARYLAND	BPA CALL	ADP SUPPORT EQUIPMENT	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	t	f	f	f	f	f	f	f	f	f	f	f	2014
70CMSD18P00000016	3950	3950	BENCHMARK FILING & SHEVLING SYSTEMS		2	TEXAS	PURCHASE ORDER	MAINT/REPAIR/REBUILD OF EQUIPMENT- SERVICE AND TRADE EQUIPMENT	OTHER BUILDING FINISHING CONTRACTORS	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2018
HSCETC13J00188	3962.74	3962.74	"WILDFLOWER INTERNATIONAL, LTD."	WILDFLOWER INTERNATIONAL LTD.	3	NEW MEXICO	DELIVERY ORDER	INFORMATION TECHNOLOGY COMPONENTS	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	t	f	f	f	f	t	f	f	f	t	f	f	2018
70CMSD18FR0000044	3964.6	3964.6	"CANON U.S.A., INC."	CANON INC.	8	VIRGINIA	DELIVERY ORDER	"PRINTING, DUPLICATING, AND BOOKBINDING EQUIPMENT"	PHOTOGRAPHIC AND PHOTOCOPYING EQUIPMENT MANUFACTURING	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2018
HSCEDM17F00067	3970.32	3970.32	"GALLS, INC"	"GALLS, LLC."	6	PENNSYLVANIA	DELIVERY ORDER	"ARMOR, PERSONAL"	ALL OTHER LEATHER GOOD MANUFACTURING	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2018
HSCEDM16P00054	3974.04	3974.04	"COMPUTECH INTERNATIONAL, INC."	COMPUTECH INTERNATIONAL  INC.	3	TEXAS	PURCHASE ORDER	"HEADSETS, HANDSETS, MICROPHONES AND SPEAKERS"	AUDIO AND VIDEO EQUIPMENT MANUFACTURING	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	t	t	f	f	f	f	f	f	f	f	f	f	2016
HSCEMD17F00212	3977.21	3977.21	"KONICA MINOLTA BUSINESS SOLUTIONS U.S.A., INC."	KONICA MINOLTA HOLDINGS  INC.	11	DISTRICT OF COLUMBIA	DELIVERY ORDER	"PRINTING, DUPLICATING, AND BOOKBINDING EQUIPMENT"	PHOTOGRAPHIC AND PHOTOCOPYING EQUIPMENT MANUFACTURING	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2017
HSCEMD17F00027	3984.6	3984.6	"CANON U.S.A., INC."	CANON INC.	8	PUERTO RICO	DELIVERY ORDER	"PRINTING, DUPLICATING, AND BOOKBINDING EQUIPMENT"	PHOTOGRAPHIC AND PHOTOCOPYING EQUIPMENT MANUFACTURING	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2018
HSCEMD16F00063	3986.93	3986.93	KONICA MINOLTA BUSINESS SOLUTIONS USA INCORPORATED	KONICA MINOLTA HOLDINGS INC.	11	VIRGINIA	BPA CALL	"PRINTING, DUPLICATING, AND BOOKBINDING EQUIPMENT"	PHOTOGRAPHIC AND PHOTOCOPYING EQUIPMENT MANUFACTURING	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2018
HSCEMD16F00063	3986.93	3986.93	KONICA MINOLTA BUSINESS SOLUTIONS USA INCORPORATED	KONICA MINOLTA HOLDINGS  INC.	11	VIRGINIA	BPA CALL	"PRINTING, DUPLICATING, AND BOOKBINDING EQUIPMENT"	PHOTOGRAPHIC AND PHOTOCOPYING EQUIPMENT MANUFACTURING	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2016
HSCEMD17F00087	3991.22	3991.22	"NET DIRECT SYSTEMS, LLC"	NET DIRECT SYSTEMS LLC	4	MARYLAND	BPA CALL	INFORMATION TECHNOLOGY SUPPORT EQUIPMENT	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	t	f	f	f	f	f	f	f	f	f	f	f	2018
HSCEMD17F00087	3991.22	3991.22	"NET DIRECT SYSTEMS, LLC"	NET DIRECT SYSTEMS  LLC	4	MARYLAND	BPA CALL	INFORMATION TECHNOLOGY SUPPORT EQUIPMENT	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	t	f	f	f	f	f	f	f	f	f	f	f	2017
70CDCR18P00000050	3997	3997	GLOBAL SYSTEMS OF AMERICA CORPORATION	GLOBAL SYSTEMS OF AMERICA CORPORATION	7	GEORGIA	PURCHASE ORDER	"IT AND TELECOM- INTEGRATED HARDWARE/SOFTWARE/SERVICES SOLUTIONS, PREDOMINANTLY SERVICES"	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2018
70CMSD18FR0000011	4000	4000	"GOVERNMENT ACQUISITIONS, INC."	GOVERNMENT ACQUISITIONS INC.	1	OHIO	DELIVERY ORDER	INFORMATION TECHNOLOGY COMPONENTS	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	t	f	t	f	f	f	f	2018
70CMSD18FR0000049	4000	4000	"GOVERNMENT ACQUISITIONS, INC."	GOVERNMENT ACQUISITIONS INC.	1	OHIO	DELIVERY ORDER	INFORMATION TECHNOLOGY COMPONENTS	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	t	f	t	f	f	f	f	2018
70CMSD18FR0000076	4000	4000	"GOVERNMENT ACQUISITIONS, INC."	GOVERNMENT ACQUISITIONS INC.	1	OHIO	DELIVERY ORDER	INFORMATION TECHNOLOGY COMPONENTS	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	t	f	t	f	f	f	f	2018
70CMSD18FR0000078	4000	4000	"GOVERNMENT ACQUISITIONS, INC."	GOVERNMENT ACQUISITIONS INC.	1	NEW JERSEY	DELIVERY ORDER	INFORMATION TECHNOLOGY COMPONENTS	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	t	f	t	f	f	f	f	2018
70CMSD18FR0000080	4000	4000	"GOVERNMENT ACQUISITIONS, INC."	GOVERNMENT ACQUISITIONS INC.	1	ILLINOIS	DELIVERY ORDER	INFORMATION TECHNOLOGY COMPONENTS	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	t	f	t	f	f	f	f	2018
70CMSD18FR0000122	4000	4000	"GOVERNMENT ACQUISITIONS, INC."	GOVERNMENT ACQUISITIONS INC.	1	MASSACHUSETTS	DELIVERY ORDER	INFORMATION TECHNOLOGY COMPONENTS	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	t	f	t	f	f	f	f	2018
70CMSD18FR0000127	4000	10831.36	"KYOCERA DOCUMENT SOLUTIONS AMERICA, INC."	KYOCERA CORPORATION	11	NEW JERSEY	DELIVERY ORDER	MAINT/REPAIR/REBUILD OF EQUIPMENT- OFFICE MACHINES/TEXT PROCESSING SYS/VISIBLE RECORD EQUIPMENT	PHOTOGRAPHIC AND PHOTOCOPYING EQUIPMENT MANUFACTURING	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2018
70CMSD18P00000022	4000	4000	ASSET SECURITY TRACKING RECOVE	ASSET SECURITY TRACKING RECOVE	8	ARIZONA	PURCHASE ORDER	"CAMERAS, MOTION PICTURE"	PHOTOGRAPHIC AND PHOTOCOPYING EQUIPMENT MANUFACTURING	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	t	f	f	f	f	f	f	f	f	f	f	f	2018
70CMSW18P00000023	4000	8000	"RUDMAN WINK ASSOCIATES, LLC"	RUDMAN WINK ASSOCIATES LLC	8	VIRGINIA	PURCHASE ORDER	EDUCATION/TRAINING- LECTURES	PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING	U.S. OWNED BUSINESS	f	f	f	f	f	t	t	t	t	f	f	f	f	f	f	f	f	f	f	2018
HSCETE16J00431	4001.04	4001.04	"FCN, INC."	FCN  INC.	8	ARIZONA	DELIVERY ORDER	INFORMATION TECHNOLOGY COMPONENTS	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	t	t	f	f	f	f	f	f	f	f	f	f	2016
HSCETE12J00143	4001.14	4001.14	"NET DIRECT SYSTEMS, LLC"	NET DIRECT SYSTEMS LLC	4	NORTH CAROLINA	BPA CALL	INFORMATION TECHNOLOGY SUPPORT EQUIPMENT	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	t	f	f	f	f	f	f	f	f	f	f	f	2018
HSCETE17J00244	4004.31	4004.31	FS PARTNERS LLP	FS PARTNERS LLP	11	VIRGINIA	DELIVERY ORDER	INFORMATION TECHNOLOGY COMPONENTS	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2017
HSCETE14J00075	4006.2	4006.2	"NET DIRECT SYSTEMS, LLC"	NET DIRECT SYSTEMS  LLC	4	TEXAS	BPA CALL	INFORMATION TECHNOLOGY SUPPORT EQUIPMENT	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	t	f	f	f	f	f	f	f	f	f	f	f	2017
HSCETE14J00075	4006.2	4006.2	"NET DIRECT SYSTEMS, LLC"	NET DIRECT SYSTEMS  LLC	2	TEXAS	BPA CALL	ADP SUPPORT EQUIPMENT	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	t	f	f	f	f	f	f	f	f	f	f	f	2014
HSCETE17J00068	4008.16	4008.16	"NET DIRECT SYSTEMS, LLC"	NET DIRECT SYSTEMS  LLC	2	MARYLAND	BPA CALL	INFORMATION TECHNOLOGY SUPPORT EQUIPMENT	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	t	f	f	f	f	f	f	f	f	f	f	f	2017
HSCETE17J00067	4008.16	4008.16	"NET DIRECT SYSTEMS, LLC"	NET DIRECT SYSTEMS  LLC	2	MARYLAND	BPA CALL	INFORMATION TECHNOLOGY SUPPORT EQUIPMENT	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	t	f	f	f	f	f	f	f	f	f	f	f	2017
HSCEDM17P00112	4012	4012	"PHOENIX SUPPLY, LLC"	PHOENIX SUPPLY  LLC	3	MINNESOTA	PURCHASE ORDER	"TOILET SOAP, SHAVING PREPARATIONS, AND DENTIFRICES"	DENTAL EQUIPMENT AND SUPPLIES MANUFACTURING	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2017
HSCETC14J00052	4019.1	4019.1	"NET DIRECT SYSTEMS, LLC"	NET DIRECT SYSTEMS  LLC	2	MARYLAND	BPA CALL	ADP SUPPORT EQUIPMENT	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	t	f	f	f	f	f	f	f	f	f	f	f	2014
70CTD018FR0000076	4027.93	4027.93	"PANAMERICA COMPUTERS, INC."	PANAMERICA COMPUTERS INC.	7	TEXAS	DELIVERY ORDER	INFORMATION TECHNOLOGY COMPONENTS	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	t	t	t	f	f	t	f	f	f	t	f	f	2018
HSCEMD17J00078	4032.47	4032.47	"ANACAPA MICRO PRODUCTS, INC."	ANACAPA MICRO PRODUCTS INC.	26	CALIFORNIA	DELIVERY ORDER	INFORMATION TECHNOLOGY COMPONENTS	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2018
HSCEMD17J00078	4032.47	4032.47	"ANACAPA MICRO PRODUCTS, INC."	ANACAPA MICRO PRODUCTS INC.	26	CALIFORNIA	DELIVERY ORDER	INFORMATION TECHNOLOGY COMPONENTS	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2017
70CMSD18FR0000099	4037	4037	SAI SYSTEMS INTERNATIONAL INCORPORATED	SAI SYSTEMS INTERNATIONAL INC	4	CONNECTICUT	DELIVERY ORDER	INFORMATION TECHNOLOGY SOFTWARE	ELECTRONIC COMPUTER MANUFACTURING	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	t	f	f	f	f	t	f	t	f	f	f	f	2018
HSCEMD17J00130	4046	4046	FEDSTORE CORPORATION	FEDSTORE CORPORATION	8	MARYLAND	DELIVERY ORDER	INFORMATION TECHNOLOGY COMPONENTS	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	t	t	f	f	f	f	f	f	f	f	f	f	f	f	2017
HSCEMD16F00147	4050.37	4050.37	"BREACHING TECHNOLOGIES, INC."	BREACHING TECHNOLOGIES  INC.	21	TEXAS	DELIVERY ORDER	"HAND TOOLS, EDGED, NONPOWERED"	HAND AND EDGE TOOL MANUFACTURING		f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2017
HSCEMD16F00147	4050.37	4050.37	"BREACHING TECHNOLOGIES, INC."	BREACHING TECHNOLOGIES  INC.	21	TEXAS	DELIVERY ORDER	"HAND TOOLS, EDGED, NONPOWERED"	HAND AND EDGE TOOL MANUFACTURING		f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2016
HSCETE12J00268	4050.45	4050.45	"NET DIRECT SYSTEMS, LLC"	NET DIRECT SYSTEMS  LLC	4	DISTRICT OF COLUMBIA	BPA CALL	INFORMATION TECHNOLOGY SUPPORT EQUIPMENT	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	t	f	f	f	f	f	f	f	f	f	f	f	2017
70CTD018FR0000142	4053.46	4053.46	PATRIOT COMM	PATRIOT COMM	11	DISTRICT OF COLUMBIA	DELIVERY ORDER	INFORMATION TECHNOLOGY COMPONENTS	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	t	t	f	f	f	f	f	f	f	f	f	f	f	f	2018
HSCEDM17F00099	4054.22	4054.22	"SPARTAN CHEMICAL CO, INC"	SPARTAN CHEMICAL COMPANY  INC.	5	OHIO	DELIVERY ORDER	LAUNDRY AND DRY CLEANING EQUIPMENT	POLISH AND OTHER SANITATION GOOD MANUFACTURING		f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2017
HSCEMS17P00103	4055.94	4055.94	"GENERAL DYNAMICS ORDNANCE AND TACTICAL SYSTEMS - SIMUNITION OPERATIONS, INC."	GENERAL DYNAMICS CORPORATION	5	CONNECTICUT	PURCHASE ORDER	"AMMUNITION, THROUGH 30MM"	SMALL ARMS AMMUNITION MANUFACTURING	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2018
HSCEMS17P00103	4055.94	4055.94	"GENERAL DYNAMICS ORDNANCE AND TACTICAL SYSTEMS - SIMUNITION OPERATIONS, INC."	GENERAL DYNAMICS CORPORATION	5	CONNECTICUT	PURCHASE ORDER	"AMMUNITION, THROUGH 30MM"	SMALL ARMS AMMUNITION MANUFACTURING	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2017
HSCEMS17P00038	4078	4078	"SPRINGFIELD, L.L.C."	INN ON BOURBON	2	LOUISIANA	PURCHASE ORDER	LEASE/RENTAL OF CONFERENCE SPACE AND FACILITIES	LESSORS OF NONRESIDENTIAL BUILDINGS (EXCEPT MINIWAREHOUSES)	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2018
HSCEMS17P00038	4078	4078	"SPRINGFIELD, L.L.C."	INN ON BOURBON	2	LOUISIANA	PURCHASE ORDER	LEASE/RENTAL OF CONFERENCE SPACE AND FACILITIES	LESSORS OF NONRESIDENTIAL BUILDINGS (EXCEPT MINIWAREHOUSES)	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2017
HSCEDM17P00088	4080	4080	PACER SERVICE CENTER	PACER SERVICE CENTER	20	GEORGIA	PURCHASE ORDER	SUPPORT- ADMINISTRATIVE: INFORMATION RETRIEVAL	INTERNET PUBLISHING AND BROADCASTING AND WEB SEARCH PORTALS	OTHER U.S. ENTITY (E.G. GOVERNMENT)	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2018
HSCEDM16P00027	4081.8	4081.8	PHOENIX TEXTILE CORPORATION	PHOENIX TEXTILE CORPORATION	3	MISSOURI	PURCHASE ORDER	TEXTILE FABRICS	CURTAIN AND LINEN MILLS	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	t	t	f	f	f	f	f	f	f	f	f	f	2016
HSCEMD17J00126	4088.93	4088.93	"ANACAPA MICRO PRODUCTS, INC."	ANACAPA MICRO PRODUCTS INC.	26	CALIFORNIA	DELIVERY ORDER	INFORMATION TECHNOLOGY COMPONENTS	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2018
HSCEMD17J00142	4088.93	4088.93	"ANACAPA MICRO PRODUCTS, INC."	ANACAPA MICRO PRODUCTS INC.	26	CALIFORNIA	DELIVERY ORDER	INFORMATION TECHNOLOGY COMPONENTS	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2018
HSCEMD17J00126	4088.93	4088.93	"ANACAPA MICRO PRODUCTS, INC."	ANACAPA MICRO PRODUCTS INC.	26	CALIFORNIA	DELIVERY ORDER	INFORMATION TECHNOLOGY COMPONENTS	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2017
HSCEMD17J00142	4088.93	4088.93	"ANACAPA MICRO PRODUCTS, INC."	ANACAPA MICRO PRODUCTS INC.	26	CALIFORNIA	DELIVERY ORDER	INFORMATION TECHNOLOGY COMPONENTS	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2017
HSCEMD17J00149	4092.46	4092.46	"ANACAPA MICRO PRODUCTS, INC."	ANACAPA MICRO PRODUCTS INC.	26	CALIFORNIA	DELIVERY ORDER	INFORMATION TECHNOLOGY SUPPORT EQUIPMENT	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2018
HSCEMD17J00149	4092.46	4092.46	"ANACAPA MICRO PRODUCTS, INC."	ANACAPA MICRO PRODUCTS INC.	26	CALIFORNIA	DELIVERY ORDER	INFORMATION TECHNOLOGY SUPPORT EQUIPMENT	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2017
70CMSD18FR0000035	4096	4096	"RICOH USA, INC."	RICOH COMPANY LTD.	6	ILLINOIS	DELIVERY ORDER	"PRINTING, DUPLICATING, AND BOOKBINDING EQUIPMENT"	PHOTOGRAPHIC AND PHOTOCOPYING EQUIPMENT MANUFACTURING	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2018
HSCEMS17J00014	4098	4098	"ATLANTIC DIVING SUPPLY, INC."	ATLANTIC DIVING SUPPLY INC.	2	DISTRICT OF COLUMBIA	BPA CALL	"ARMOR, PERSONAL"	"SMALL ARMS, ORDNANCE, AND ORDNANCE ACCESSORIES MANUFACTURING"	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2018
70CDCR18P00000076	4100	4100	L-3 COMMUNICATIONS CORPORATION	L3 TECHNOLOGIES INC.	5	DISTRICT OF COLUMBIA	PURCHASE ORDER	"MAINT/REPAIR/REBUILD OF EQUIPMENT- COMMUNICATION, DETECTION, AND COHERENT RADIATION EQUIPMENT"	OTHER ELECTRONIC AND PRECISION EQUIPMENT REPAIR AND MAINTENANCE	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2018
HSCECR17P00003	4100	4100	L-3 COMMUNICATIONS CORPORATION	L-3 COMMUNICATIONS HOLDINGS  INC.	5	DISTRICT OF COLUMBIA	PURCHASE ORDER	"MAINT/REPAIR/REBUILD OF EQUIPMENT- COMMUNICATION, DETECTION, AND COHERENT RADIATION EQUIPMENT"	OTHER ELECTRONIC AND PRECISION EQUIPMENT REPAIR AND MAINTENANCE	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2017
HSCECR16P00005	4100	4100	L-3 COMMUNICATIONS CORPORATION	L-3 COMMUNICATIONS HOLDINGS  INC.	5	FLORIDA	PURCHASE ORDER	"MAINT/REPAIR/REBUILD OF EQUIPMENT- COMMUNICATION, DETECTION, AND COHERENT RADIATION EQUIPMENT"	ELECTROMEDICAL AND ELECTROTHERAPEUTIC APPARATUS MANUFACTURING	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2016
