,3yo or older Source,Recent Source,"Type (Current Crisis, General)",Latitude,Longitude,Name,City,State,Country,Address,MachineMatchAddress,Phone,Email,Twitter,Website,Owner_Type,Owner_Contact,Sources,Notes,
,2016-06-09 Extranjeros saturan refugios de Tijuana; huyen de la violencia,2017-09-13 VIDEO: Casa del Migrante de Tijuana es refugio para reponer fuerzas,General Crisis,32.5371727,-117.0421399,El Refugio del Inmigrante,Tijuana,Baja California,México,"Calle F. Martínez #593, Zona Norte, Tijuana, Baja California (entre calle primera y calle Coahuila)",,(664) 1359199,,,,,"Rafael Vega, Alonso Ramírez Venegas",,,
,2015-05-27 Inaugura el Ejército de Salvación tercer albergue en Tijuana ,http://sintesistv.com.mx/baja-la-afluencia-migrantes-buscan-sueno-americano-tijuana/,General Crisis,32.5350958,-117.0118554,Albergue Ejército de Salvación,Tijuana,Baja California,México,"Aquiles Serdán #11585, Colonia Libertad Parte Baja, Tijuana, Baja California 22300",,(664) 6832694,eds_tijuana@hotmail.com,,,,"Capitán Miguel Ángel Rodríguez, Capitana Ofelia Gress Vargas",,,
,"2000-12-18 Clark Alfaro, equilibrio entre el activismo y la academia",https://www.elsoldetijuana.com.mx/local/pocas-esperanzas-de-asilo-para-migrantes-1642191.html,General Crisis,32.532531,-117.018923,Centro Binacional de Derechos Humanos,Tijuana,Baja California,México,"Ave. Paseo del Centenario #3-B, Oficina 11, Zona Río Tijuana contraesquina con Palacio Municipal, Tijuana, Baja California",,(664) 6828550,clarkvictor@hotmail.com,,,,Víctor Clark Alfaro,,,
,"2015-07-10 Casa Hogar ""Cavit Alejandro"" en Tijuana",,General Crisis,32.519221,-117.02567,Casa Hogar Cavit Alejandro,Tijuana,Baja California,México,"Francisco I. Madero #104, Colonia Divina Providencia, Tijuana, Baja California",,(664) 6306267 / (664) 1174217-celular,hogarcavit@hotmail.com,,,,"Verónica Flores Córdova, Mario Medina",,,
,https://expansion.mx/economia/2016/02/17/la-casa-del-migrante-un-pedazo-de-cielo-entre-mexico-y-eu,2018-04-13 Prevén que más migrantes se queden en la frontera,Current Crisis,31.6819188,-106.3777442,Casa del Migrante,Cd. Juárez,Chihuahua,México,"Calle Neptuno #1855, Col. Satélite, Ciudad Juárez, Chihuaha, C.P 32540",,"(656) 687-0676, (656) 687-0677, (656) 687-2864","casadelmigrante@gmail.com, casamijuarez@yahoo.com",,http://www.diocesisdeciudadjuarez.org/migrantes/,,"Padre Javier Calvillo, Blanca Navarrete",https://www.researchgate.net/publication/304538960_Directorio_de_Organizaciones_Civiles_que_atienden_a_Migrantes_en_la_Frontera_Norte_de_Mexico,,
,"2010-09-26 Menores migrantes, presa fácil del crimen ",,General Crisis,31.7443128,-106.4770776,Casa YMCA para Menores Migrantes,Cd. Juárez,Chihuahua,México,"Calle Tlaxcala #267, Esq. Lerdo, Zona Centro, Ciudad Juárez, Chihuahua, C.P. 32000",,(656) 612-6138,,,,,Leticia López,https://www.researchgate.net/publication/304538960_Directorio_de_Organizaciones_Civiles_que_atienden_a_Migrantes_en_la_Frontera_Norte_de_Mexico,,
,2014-05-26 Es Piedras Negras donde Casa YMCA atiende a más niños migrantes,207-04-11 Coadyuva Casa YMCA con nuevo albergue,General Crisis,28.7175828,-100.518571,"Casa YMCA de Desarrollo Comunitario y Asistencia Social, A.C.",Piedras Negras,Coahuila,México,"Xicotencatl Norte #1802 A, Col. Mundo Nuevo, Piedras Negras, Coahuila, C.P. 26010",,"(878) 782-9672, (878) 782-5189, (878) 782-1979","casaymca@prodigy.com.mx, urielmam@prodigy.net.mx",,,,"Rafael Martínez Martínez, Blanca Estela Jacobo Rivera",https://www.researchgate.net/publication/304538960_Directorio_de_Organizaciones_Civiles_que_atienden_a_Migrantes_en_la_Frontera_Norte_de_Mexico,,
,2014-05-26 Es Piedras Negras donde Casa YMCA atiende a más niños migrantes,,General Crisis,28.7140505,-100.5293761,Casa YMCA de menores migrantes A.C.,Piedras Negras,Coahuila,México,"Calle Josefa Ortiz de Domínguez 605, col. Maravillas, Piedras Negras, Coahuila, C.P. 26017",,(878) 782 96 72,"casaymca@prodigy.net.mx, ymcapnc@gmail.com",,,,,http://www.oscscoahuila.mx/casa-ymca-de-menores-migrantes-ac,,
,https://www.google.com/search?biw=1024&bih=506&ei=DK9OW6CzBMuwtgXn_aqYDw&q=Casa+del+Peregrino+de+Piedras+Negras+A.C.&oq=Casa+del+Peregrino+de+Piedras+Negras+A.C.&gs_l=psy-ab.3..0i22i30k1.190772.199862.0.200248.37.16.1.0.0.0.123.1351.10j5.15.0....0...1.1.64.psy-ab..29.5.389...33i160k1.0.RmYPvwuADB0,https://spanish.cjd.org/2018/02/06/lista-de-albergues-y-casas-del-migrante-para-migrantes-y-deportados-en-mexico-y-guatemala/,General Crisis,28.7051096,-100.5220473,Casa del Peregrino de Piedras Negras A.C.: Frontera Digna Casa del Migrante,Piedras Negras,Coahuila,México,"Anáhuac #605 Oriente, Col. Centro, Piedras Negras, Coahuila, C.P. 26000",,"(878) 782-4760, (878) 782-1408",josguapastor@hotmail.com,,,,"P. José Guadalupe Valdez Alvarado, Roberto Bustos, Enrique Betis",https://www.researchgate.net/publication/304538960_Directorio_de_Organizaciones_Civiles_que_atienden_a_Migrantes_en_la_Frontera_Norte_de_Mexico,,
,2011-06-17 Ejército de Salvación A.C.: Centro Comunitario y Comedor Infantil,,General Crisis,28.708685,-100.5215919,Ejército de Salvación A.C.: Centro Comunitario y Comedor Infantil,Piedras Negras,Coahuila,México,"Victoria 805, Francisco I. Madero, 26010 Piedras Negras, Coah., Mexico",,"(878) 782-2707, (878) 770-5936","capi.franco@hotmail.com, marco_flores@mex.salvationarmy.org, gaciela_flores@salvationarmy.org",,,,Capitana Graciela de Flores,https://www.researchgate.net/publication/304538960_Directorio_de_Organizaciones_Civiles_que_atienden_a_Migrantes_en_la_Frontera_Norte_de_Mexico,,
,2013-11-05 Directorio de Albergues y Organizaciones,2018-02-23 EL PROCESO DE ACOMPAÑAMIENTO DE LAS INMIGRACIONES INDOCUMENTADAS EN TRÁNSITO,General Crisis,14.5585707,-90.729523,Frontera y Dignidad de Acuña A.C.: Casa del Migrante EMAUS,Ciudad Acuña,Coahuila,México,"Dr. Cross #47, Antigua Escuela Miguel Hidalgo, Ciudad Acuña, Coahuila, C.P. 26200",,"(877) 772-5715, (887) 772-0105",hernandezcarlos29@hotmail.com,,,,"Carlos Hernández, P. Sabino Gómez",https://www.researchgate.net/publication/304538960_Directorio_de_Organizaciones_Civiles_que_atienden_a_Migrantes_en_la_Frontera_Norte_de_Mexico,,
,"2011-08-21 Migrantes, el gran botín ",2017-11-29 En los caminos de Pedro,General Crisis,25.4033181,-101.0237096,Frontera con Justicia A.C. (Casa del Migrante de Saltillo Ex Belén Posada del Migrante),Saltillo,Coahuila,México,"Juan de Erbáez #2406, Col. Landín, Saltillo Coahuila, C.P. 25070",,"(844) 111-3273, (844) 255-6127",direccion@cdmsalt.org,,https://www.facebook.com/casamigrantesaltillo,,"Alberto Xicotencatl Carrasco, Guadalupe Arguello",https://www.researchgate.net/publication/304538960_Directorio_de_Organizaciones_Civiles_que_atienden_a_Migrantes_en_la_Frontera_Norte_de_Mexico,,
,2011-01-15 Defensores de Derechos Humanos de Coahuila levantan la voz,,General Crisis,25.4033181,-101.0237096,Humanidad sin Fronteras A.C.,Saltillo,Coahuila,México,"Juan de Erbáez #2406, Col. Landín, Saltillo Coahuila, C.P. 25070",,"(844) 111-3273, (844) 255-6128","direccion@cdmsalt.org, fronteraconjusticia@gmail.com",,,,"Alberto Xicotencatl Carrasco, Guadalupe Arguello",https://www.researchgate.net/publication/304538960_Directorio_de_Organizaciones_Civiles_que_atienden_a_Migrantes_en_la_Frontera_Norte_de_Mexico,,
,2016-10-28 Es Agua Prieta la última esperanza para migrantes,2017-10-19 ¿Cómo saber dónde estuvo un migrante desaparecido?,Current Crisis,31.328402,-109.56638,"Centro de Atención al Migrante Exodus, A.C. (CAME)",Agua Prieta,Sonora,México,"Calle 6ta y Av. Anáhuac S/N, Colonia Ferrocarril, Agua Prieta, Sonora C.P. 84200",,(633) 3382514,"c.a.m.e.02@hotmail.com, camesagfam@hotmail.com, ivanbernal23@hotmail.com",,,,"Ricardo Moreno, Padre Iván Bernal",https://www.researchgate.net/publication/304538960_Directorio_de_Organizaciones_Civiles_que_atienden_a_Migrantes_en_la_Frontera_Norte_de_Mexico,,
,2016-11-19 Inicia Migratón en Agua Prieta,2018-04-17 Baja 50% el cruce de menores migrantes por Agua Prieta,General Crisis,7.882761,-76.624692,"Programa Ymca de Desarrollo Comunitario y Asistencia Social “Casas Ymca para Menores Migrantes""",Agua Prieta,Sonora,México,"Calle 7, entre Avenida 22 y 23 # 2205 Col. Burócrata, Apartado Postal 1662 Agua Prieta, Sonora C.P. 84200",,(633) 3384000,ymca_aguaprieta02@hotmail.com,,http://www.ymca.org.mx/federacion/casasdir.htm,,"Ernesto Peraza Amparan, Graciela Pérez Ortiz",,,
,"2014-08-11 Vivir de los migrantes: economía de la migración en Altar, Sonora",2017-03-29 Pide Ccamyn apoyo a la ciudadanía para ayudar a inmigrantes,General Crisis,30.7243248,-111.8325685,Centro Comunitario de Atención al Migrante y Necesitado (CCAMYN),Altar,Sonora,México,"Av. Gonzalo Senday #79 Col. Buenos Aires Altar, Sonora",,(637) 3740360,priscyperazagarcia@hotmail.com,,https://www.facebook.com/Ccamyn,,Padre Prisciliano Peraza García,,,
,2014-07-25 Migrant Shelter Faces Police Abuses on the Border,,General Crisis,31.3288202,-110.9581147,Albergue Cristiano La Roca Ex Albergue de la Esperanza,Nogales,Sonora,México,"Calle Independencia y Reforma # 549 Colonia del Rosario, Nogales, Sonora",,(631) 1074655,,,,,"Sergio Arreola, Israel Olivarría Ramírez, Giovanni Jiménez",,,
,2013-09-22 El albergue San Juan Bosco cobija a inmigrantes que buscan cruzar la frontera,2017-12-08 Abren las puertas del albergue San Juan Bosco,General Crisis,31.3198734,-110.9424673,"Albergue para Migrantes San Juan Bosco, I. A. P.",Nogales,Sonora,México,"Montaño # 1063-A Colonia Municipal, Nogales, Sonora C.P. 84035",,(631) 3136833,"alberguemigrantesjuanbosco@yahoo.com, feoloureiro@yahoo.com.mx",,https://www.facebook.com/pages/Albergue-Para-Migrantes-San-Juan-Bosco/376672685787903,,"Gilda Irene Esquer Félix, Juan Fco. Lourerio Herrera",,,
,2013-12-01 “No hay palabras para describir el dolor de las madres separadas de sus hijos”,"2018-05-25 Families seeking asylum wait days at Nogales port of entry, advocates say",General Crisis,31.3286399,-110.9651933,Kino Border Initiative / Casa Nazareth Iniciativa Kino para la Frontera,Nogales,Sonora,México,"Edificio 4, Departamento # 502, Colonia Fovisste 2, Nogales, Sonora C.P. 84000",,(631) 3162086,"rufime@yahoo.com.mx, scarroll@calprov.org",,https://www.kinoborderinitiative.org/es/,,"Hermana Lorena Leyva, Hermana Imelda Ruiz Silva",,,
,2015-04-12 [Entrevista] Lo que enfrentan los migrantes de Honduras para llegar a Estados Unidos,,General Crisis,31.3300523,-110.964511,"Centro de Atención a Migrantes Deportados (CAMDEP), Iniciativa Kino para la Frontera",Nogales,Sonora,México,"Línea internacional Garita 2, Intersección de Reforma y Periférico Luis, Donaldo Colosio # 55, Colonia del Rosario, Nogales, Sonora C.P. 84000",,(631) 3162086,scarroll@calprov.org,,https://www.facebook.com/pages/Centro-De-Atencion-Al-Migrante-Deportado/626795757378769,,Sean Carroll,,,
,https://tucson.com/laestrella/ciudad/ayudan-fundaciones-a-comunidad-fronteriza/article_963a8e8d-f225-512b-9b3e-d2d12ed7f73b.html,,General Crisis,31.3196805,-110.948299,Centro Comunitario Guadalupano de Nogales I.A.P,Nogales,Sonora,México,"Calle Latinos 193, Col. Fundo Legal, Zona centro, Nogales, Sonora",,(631) 312 3091,ccguadalupanodenogalesiap@gmail.com,,https://es-la.facebook.com/pages/Centro-Comunitario-Guadalupano/145238268976628,,Ing. Salvador Saucedo Tamayo,,,
,2017-03-28 Casa del Migrante: un hogar para todos,,,32.4692867,-114.7544476,"Asociación Casa del Migrante “Divina Providencia”, I.A.P.",San Luis Río Colorado,Sonora,México,"Avenida Zaragoza entre 9 y 10 # 912, San Luis Río Colorado, Sonora",,(653) 5349543,,,,,María Martha Vargas Ayala,,,
,19/12/2013 Más de siete mil atenciones en casa del migrante en Laredo,07/07/2017 Casa del Migrante Nazareth recibe de 6 a 10 extranjeros al día,General Crisis,27.4875363,-99.4848724,Casa del Migrante Nazareth A.C.,Nuevo Laredo,Tamaulipas,México,"Francisco I. Madero No. 350, Col. Victoria, Nuevo Laredo Tamaulipas C.P. 88070",,(867) 714 5611,casamigrantenl@yahoo.com,,http://www.migrante.com.mx/nuevo-laredo.html,,Padre Francisco Pellizzari,,,
,11/03/2009 Presenta Casa del Migrante en Nuevo Laredo 214 quejas por abusos,,General crisis,27.4875363,-99.4848724,Centro de Derechos Humanos del Migrante Beato Juan Bautista Scalabrinni,Nuevo Laredo,Tamaulipas,México,"Francisco I. Madero No. 350 Col. Victoria, Nuevo Laredo, Tamaulipas C.P. 88070",,(857) 714 5611,,,,,Padre Francisco Pellizzari,,,
,"23/04/2012 Casas del Migrante, un oasis para los deportados",15/02/2017 Algunos de los muchos lugares donde la iglesia catolica brinda auxilio a migrantes y refugiados en Mexico y EUA,General crisis,25.8370289,-97.4860038,Casa San Juan Diego y San Francisco de Asís A.C.,Matamoros,Tamaulipas,México,"Av. Golfo de México #49, Col. Ampliación Solidaridad, Matamoros, Tamaulipas, C.P. 87456",,"(868) 822-2213, (868) 822-4689",casadelmigrantematamoros@hotmail.com,,,,"Padre Patricio Gallardo, Padre Hilario del Pozo",https://www.researchgate.net/publication/304538960_Directorio_de_Organizaciones_Civiles_que_atienden_a_Migrantes_en_la_Frontera_Norte_de_Mexico,,
," 23/04/2012 Casas del Migrante, un oasis para los deportados",,General crisis,26.0906258,-98.2909736,Albergue del Migrante Nuestra Señora de Guadalupe A.C.,Reynosa,Tamaulipas,México,"Calle Ma. J. González #501 Esq. con Libramiento Luis Echeverría, Col. Aquíles Serdán, Reynosa, Tamaulipas, C.P. 88500",,"(899) 922-4268, (899) 930-0672 Ext. 116","sormercedesdiaz@yahoo.com, migrantes_diocesis_matamoros@hotmail.com",,,,P. Hilario del Pozo,https://www.researchgate.net/publication/304538960_Directorio_de_Organizaciones_Civiles_que_atienden_a_Migrantes_en_la_Frontera_Norte_de_Mexico,,
,"19/07/2015 Monterrey se vuelve el nuevo ""sueño americano"" de los migrantes ",13/02/2018 La Casa del forastero Santa Martha atiende a cinco mil migrantes al año,General crisis,25.6908931,-100.3197955,Casa del Forastero Santa Martha,Monterrey,Nuevo León,México,"José María Bocanegra y Amado Nervo, Col. Industrial, Monterrey, Nuevo León CP 6440",,(837) 23 355,casastamarthacoordinador@gmail.com,,https://www.facebook.com/pages/Casa-Del-Forastero-Santa-Martha/1411422242445220,,P. Alberto Cortez,,,
,,,,25.6902295,-100.3017518,Ejército de Salvacion A.C.,Monterrey,Nuevo León,México,"Carvajal y de la Cueva No. 1716, Col. Primero de Mayo, Monterrey, Nuevo León C.P. 64580",,(818) 375 0379,ejercitodesalvacion.monterrey@hotmail.com,,https://www.facebook.com/cuerpomty/,,Mayor Daniel Guerra Bonilla,,,
Founded in 2008,"22/06/2015 Monterrey, la ciudad cegada a los migrantes",07/12/2016  Casanicolás: Un refugio para migrantes en Nuevo León,General crisis,25.6655066,-100.2140266,Casa San Nicolas Tolentino (Casanicolas),Guadalupe,Nuevo León,México,"Emiliano Zapata No. 4417, Esq. Serafín Peña, Guadalupe, Nuevo León C.P. 67180",,52(81)2169-8232,casanicolasnl@gmail.com,,https://www.casanicolas.org/ ,,P. Luis Eduardo Villarreal Ríos,,,
,,02/05/2018 Cómo ayudar a la caravana migrante en Tijuana,Current crisis,32.5366925,-117.0358461,Enclave Caracol,Tijuana,Baja California,México,Calle Primera 8220 (En frente del Museo de Cera),,(664) 379-1818,,@enclavecaracol,https://www.facebook.com/enclavecaracol/,,Chris,,,
Founded in 2015,03/10/2016 (da recorrido historico) Da `Casa Indi` cobijo y comida a los indigentes,02/01/2018 Casa INDI instala más camas para que migrantes e indigentes mitiguen frío,General crisis,,,Casa INDI,Monterrey,Nuevo Leon,Mexico,"Av. Bernardo Reyes #2404 Col. Industrial, Monterrey N.L.",,,contacto@casaindi.com.mx ,https://twitter.com/casaindi?lang=en,http://casaindi.org/,,Padre Felipe de Jesús Sánchez,,,
,,24/06/2018 ¿Cómo ayudar a los niños que migran a EU?,Current crisis,,,Espacio migrante,Tijuana,Baja California,México,,,(664) 607-3458,espaciomigrante@gmail.com,,http://espaciomigranteac.org,,Paulina Olivera,,,
,,25/10/2017 Familia de migrantes es rescatada por Grupo Beta,General crisis,,,Grupo Beta,Ciudades Fronterizas,Estados Fronterizos,México,,,,,,https://www.gob.mx/inm/acciones-y-programas/grupos-beta-de-proteccion-a-migrantes,,,https://en.wikipedia.org/wiki/Grupos_Beta#cite_note-11,Phone number listed on official government website. Address information from Wikipedia only.,
Founded in 1994,2012-03-19 The Sentinel – Grupos Beta aids migrants south of the border,2018-03-23 Canal 7 – Migrantes reciben apoyo de Grupo Beta en frontera de Sonora,General Crisis,31.3282891,-110.9576099,Grupo Beta Nogales,Nogales,Sonora,México,"Cale Reforma 465, Col. El Rosario, C. P. 84020, Nogales, Sonora","Calle Reforma 465, Col del Rosario, 84020 Nogales, Son., Mexico",(631) 312 6180,,,https://www.gob.mx/inm/acciones-y-programas/grupos-beta-de-proteccion-a-migrantes,,,https://en.wikipedia.org/wiki/Grupos_Beta#cite_note-11,Phone number listed on official government website. Address information from Wikipedia only.,
Founded in 2004,2013-02-23 El Sur – Rescatan a 52 migrantes en el desierto de Sonora,2018-03-01 Tribuna – Grupo Beta orienta a 14 migrantes extranjeros en Sonoyta,General Crisis,31.8718915,-112.8282661,Grupo Beta Sonoyta,Sonoyta,Sonora,México,"Puerta Int. Boulevard Benemérito de las Américas No. 285 Línea Internacional, Col. Hombres Blancos C. P. 83570, Sonoyta, Sonora","Benemérito de Las Americas 285, Hombres Blancos, 83570 Sonoyta, Son., Mexico",(651) 512 1520,,,https://www.gob.mx/inm/acciones-y-programas/grupos-beta-de-proteccion-a-migrantes,,,https://en.wikipedia.org/wiki/Grupos_Beta#cite_note-11,Phone number listed on official government website. Address information from Wikipedia only.,
Founded in 1996,2014-12-26 Expansión – Unas 120 personas son rescatadas tras quedar atrapadas por nieve en Sonora,2017-10-28 Tribuna – Las autoridades de Agua Prieta realizan el Migratón 2017,General Crisis,31.3277951,-109.5129248,Grupo Beta Agua Prieta,Agua Prieta,Sonora,México,"Calle Dos, Avenida 6 y 7 No. 697 Col. Centro C. P. 84200 Agua Prieta, Sonora","INFONAVIT Alamito, 84200 Agua Prieta, Son., Mexico",(633) 338 1618,,,https://www.gob.mx/inm/acciones-y-programas/grupos-beta-de-proteccion-a-migrantes,,,https://en.wikipedia.org/wiki/Grupos_Beta#cite_note-11,Phone number listed on official government website. Address information from Wikipedia only.,
Founded in 2000,2015-12-22 Vanguardia – Refuerzan operativos Grupos Beta en Acuña y Piedras Negras,2018-01-11 Televisa Coahuila – Era Texano rescatado por bomberos y grupo beta en el Rio Bravo n Piedras Negaras,General Crisis,28.6916182,-100.5408622,Grupo Beta Piedras Negras,Piedras Negras,Coahuila,México,"Oficinas federales, Pte. Internacional Coahuila 2000 Planta Alta, C. P. 26000, Piedras negras, Coahuila","Piedras Negras, Coahuila, Mexico",(878) 782 8832,,,https://www.gob.mx/inm/acciones-y-programas/grupos-beta-de-proteccion-a-migrantes,,,https://en.wikipedia.org/wiki/Grupos_Beta#cite_note-11,Phone number listed on official government website. Address information from Wikipedia only.,
Founded in 2011,2014-12-11 Milenio – Grupo Beta rescata 29 personas en Acuña,2017-09-12 Channel 12 – Rescata Grupo Beta en Acuña a cuatro migrantes,General Crisis,25.4172378,-101.0017806,Grupo Beta Ciudad Acuña,Acuña,Coahuila,México,"Puente Int. Calle Hidalgo No. 1, Col. Zona Centro, C. P. 26200, Cd. Acuña, Coahuila","Calle Miguel Hidalgo 524_1, Zona Centro, 25000 Saltillo, Coah., Mexico",(877) 772 7524,,,https://www.gob.mx/inm/acciones-y-programas/grupos-beta-de-proteccion-a-migrantes,,,https://en.wikipedia.org/wiki/Grupos_Beta#cite_note-11,Phone number listed on official government website. Address information from Wikipedia only.,
Founded in 1995,2014-01-27 Horacero – Piden ampliar Grupo Beta a Reynosa y Nuevo Laredo,2018-05-10 La Prensa de Monclova – Rescatan a migrantes en Matamoros,General Crisis,25.893848,-97.499775,Grupo Beta Matamoros,Matamoros,Tamaulipas,México,"Av. Álvaro Obregón s/n, Puete Internacional Puerta México, Col. Jardín 1er piso C. P. 87330, Matamoros, Tamaulipas","Av. Álvaro Obregón 48, Jardín, 87330 Matamoros, Tamps., Mexico",(868) 812 3664,,,https://www.gob.mx/inm/acciones-y-programas/grupos-beta-de-proteccion-a-migrantes,,,https://en.wikipedia.org/wiki/Grupos_Beta#cite_note-11,Phone number listed on official government website. Address information from Wikipedia only.,
Founded in 1996,"2012-05-17 IOM – Mexican National Migration Institute, IOM Workshop Shares ""Grupos Beta"" Experience","2017-01-25 El diario popular – Deporta el INM a 70 cubanos, en Tapachula",General Crisis,14.8919368,-92.2807898,Grupo Beta Tapachula,Tapachula,Chiapas,México,"Calle Vialidad No. 435 Fraccionamiento Las Vegas C. P. 30798 Tapachula, Chiapas","Los Naranjos, Las Vegas, 30798 Tapachula de Córdova y Ordoñez, Chis., Mexico",(962) 625 7986,,,https://www.gob.mx/inm/acciones-y-programas/grupos-beta-de-proteccion-a-migrantes,,,https://en.wikipedia.org/wiki/Grupos_Beta#cite_note-11,Phone number listed on official government website. Address information from Wikipedia only.,
Founded in 1996,2009-11-20 El Universal - Crece trata de menores en la frontera sur: INM,2018-09-05 El Universal – Secuestran a funcionario y agentes de INM en Chiapas,General Crisis,16.2566455,-92.1459383,Grupo Beta Comitán,Comitán,Chiapas,México,"Calle Central Benito Juárez Poniente No. 130 esquina con Novena Poniente, Col. Barrio Candelaria C. P. 30060 Comitán, Chiapas","Novena Nte. Pte., El Mirador, 30019 Comitán de Domínguez, Chis., Mexico",(963) 632 5751,,,https://www.gob.mx/inm/acciones-y-programas/grupos-beta-de-proteccion-a-migrantes,,,https://en.wikipedia.org/wiki/Grupos_Beta#cite_note-11,Phone number listed on official government website. Address information from Wikipedia only.,
Founded in 2002,2013-11-25 Diario rotativo – Rescata grupo Beta a migrantes extraviados en Ciudad Juárez,"2017-08-17 El Mexicano – Se ponen a trabajar Grupo Beta y policía, recorren el Rio Bravo",General Crisis,31.746354,-106.4838957,Grupo Beta Juárez,Juárez,Chihuahua,México,"General Rivas Guillén 950, Col. Centro C. P. 32000, Cd. Juárez, Chihuahua","Gral. Rivas Guillén 950, Chamizal, Cd Juárez, Chih., Mexico",656) 612 7618,,,https://www.gob.mx/inm/acciones-y-programas/grupos-beta-de-proteccion-a-migrantes,,,https://en.wikipedia.org/wiki/Grupos_Beta#cite_note-11,Phone number listed on official government website. Address information from Wikipedia only.,
Founded in 2006,2006-01-28 El Siglo Durango - Crea el INM nuevo grupo de rescate,2017-12-01 La Opción de Chihuahua – Organizan Grupo Beta del INM campaña Arropa a un Migrante,General Crisis,31.7776439,-107.6363296,Grupo Beta Puerto Palomas,Puerto Palomas,Chihuahua,México,"Av. 5 de mayo e Internacional s/n, Col. Centro C. P. 31830, Puerto Palomas de Villas, Chihuahua","Centro, 31830 Puerto Palomas, Chih., Mexico",(656) 666 0889,,,https://www.gob.mx/inm/acciones-y-programas/grupos-beta-de-proteccion-a-migrantes,,,https://en.wikipedia.org/wiki/Grupos_Beta#cite_note-11,Phone number listed on official government website. Address information from Wikipedia only.,
Founded in 2002,"2014-07-22 El Universal Veracruz – Varados, más de 600 migrantes esperan regresar a casa",2018-03-30 24 Horas – Rescatan a 136 migrantes en tramo carretero Coatzacoalcos – Acayucan Veracruz,General Crisis,17.9517529,-94.8997566,Grupo Beta Acayucan,Acayucan,Veracruz,México,"Carretera costera del golfo no. 180 km. 221 C. P. 96000 Acayucan, Veracruz","km. 221, Carr. Costera del Golfo 180, Zapotal, 96039 Acayucan, Ver., Mexico",(924) 247 9174,,,https://www.gob.mx/inm/acciones-y-programas/grupos-beta-de-proteccion-a-migrantes,,,https://en.wikipedia.org/wiki/Grupos_Beta#cite_note-11,Phone number listed on official government website. Address information from Wikipedia only.,
Founded in 2002,"2006-04-12 NBC News – Sensing change, migrants rush to the border","2018-02-22 Tribuna – Grupos Beta en frontera de Sonora, al rescate de los migrantes",General Crisis,31.4690797,-111.5428012,Grupo Beta Sásabe,Sásabe,Sonora,México,"Calle 1era. s/n entre Av. A y calle Hidalgo, Col. Solidaridad C.P. 83870, Sásabe, Sonora","Sasabe, Sonora, Mexico",(637) 374 8076,,,https://www.gob.mx/inm/acciones-y-programas/grupos-beta-de-proteccion-a-migrantes,,,https://en.wikipedia.org/wiki/Grupos_Beta#cite_note-11,Phone number listed on official government website. Address information from Wikipedia only.,
Founded in 1997,2006-03-19 La Jornada – Cada vez más migrantes de CA usan Tenosique de trampolín para ir a EU,2017-12-28 Zócalo – Salvar embarazadas preocupación de Grupos Beta en Tabasco,General Crisis,17.4759681,-91.4181049,Grupo Beta Tenosique,Tenosique,Tabasco,México,"Calle 25 No. 638 entre las 46 y 50 Col. Cocoyotl, C. P. 86902, Tenosique, Tabasco","Belen, 86902 Tenosique de Pino Suárez, Tab., Mexico",(934) 342 0110,,,https://www.gob.mx/inm/acciones-y-programas/grupos-beta-de-proteccion-a-migrantes,,,https://en.wikipedia.org/wiki/Grupos_Beta#cite_note-11,Phone number listed on official government website. Address information from Wikipedia only.,
Founded in 2011,2015-10-14 El Universal – Auxilian a migrante tras caer de tren en Chiapas,2017-07-31 La Jornada – Se fortalecen en México medidas para dar apoyo a desplazados,General Crisis,16.9087258,-92.0943351,Grupo Beta Palenque,Palenque,Chiapas,México,"Carretera federal Playas de Catazcaja - Ocosingo Km. 26+100 Lado A, Col. Guayacán C. P. 29960, Palenque, Chiapas","Ocosingo, Chis., Mexico","(916) 345 3035 Ext. 209, 210",,,https://www.gob.mx/inm/acciones-y-programas/grupos-beta-de-proteccion-a-migrantes,,,https://en.wikipedia.org/wiki/Grupos_Beta#cite_note-11,Phone number listed on official government website. Address information from Wikipedia only.,
Founded in 2011,2013-05-09 El Horizonte – Auxilia Grupo Beta a migrantes lesionados en Chiapas,"2016-02-25 Record Chiapas – ""Polleros"" de Arriaga y Tonalá, volcados con 17 personas",General Crisis,16.2252062,-93.908816,Grupo Beta Arriaga,Arriaga,Chiapas,México,"5ta. Poniente No. 722 entre 14 y 16 Sur, Barrio de Santo Tomás C. P. 30450, Arriaga, Chiapas","Los Pocitos, 30450 Arriaga, Chis., Mexico",(962) 625 7986,,,https://www.gob.mx/inm/acciones-y-programas/grupos-beta-de-proteccion-a-migrantes,,,https://en.wikipedia.org/wiki/Grupos_Beta#cite_note-11,Phone number listed on official government website. Address information from Wikipedia only.,
