name, duns
"Continental Transportation Solutions, Inc.", "092430107"
"M.A.N.S. Distributors, Inc.", "601903479"
"Mavagi Enterprises Inc", "030963826"
"Digital Intelligence, Inc.", "085783707"
"Crowne Plaza Tampa Westshore", "828983200"
"Lionbridge Global Solutions II, Inc.", "134265938"
"Language Training Center, Inc.", "939827127"
"TAYLOR HOLDINGS, LLC", "073407728"
"Metro Office Products, LLC", "791326312"
"Shoe Corporation of Birmingham, Inc.", "061141891"
"ESCGOV, INC.", "136155178"
"USA Couriers, Inc.", "133129044"
"Fire Safety Systems Inc.", "108608555"
"Guidehouse LLP", "079529872"
"Heuresis Corp", "042557936"
"Ipi Grammtech Ltd", "617441894"
"Fileonq, Inc.", "179886916"
"Delany, Siegel, Zorn & Associates, Inc.", "101176097"
"Envisage Technologies, LLC", "018832795"
"Trusted Translations, Inc.", "825892289"
"Spot LLC", "005029718"
"Caribbean School Inc.", "090111733"
"Deva & Associates, P.C.", "789017506"
"The Palmas Academy Inc", "792851032"
"Elevation, Ltd", "144184392"
"Ruag Ammotec Usa, Inc.", "832426261"
"Bashen Corporation", "877933408"
"Kcorp Support Services, Inc.", "790993252"
"Athens Technical Specialists, Inc", "610342818"
"Weidenbenner Marketing Associates, Inc.", "788828457"
"Cleatech LLC", "069482114"
"Nal Research Corp.", "799458039"
"Allied Ink LLC", "828302864"
"Dell Federal Systems L.P.", "149530219"
"Enforcement Technology Group Inc", "181272209"
"Southeast Vocational Alliance Inc.", "196746916"
"Victory Supply, LLC", "079090324"
"Solv LLC", "835979147"
"Palantir Usg, Inc.", "825284321"
"Connecticut Trailers, Inc.", "796365240"
"Marquis Consulting Services Inc.", "134120422"
"Industries of The Blind, Incorporated", "003219862"
"Interactive Communications Solutions Group, Inc.", "045006140"
"Hr Anew, Inc.", "115415338"
"Pacer Service Center", "942273863"
"Spacesaver Storage Systems, Inc.", "796830029"
"Bcs Systems, Inc.", "788459154"
"M V M, Inc.", "038049532"
"Cbx Holding, LLC", "079414138"
"Imagann Cleaning Service, Inc.", "027284830"
"Sci, Inc.", "195970504"
"People's Accident Information Service, Inc.", "048229301"
"Msab Incorporated", "831301762"
"Geo Care LLC", "079787440"
"URBAN ADVENTURES AT GALLERY PLACE, LLC", "787815542"
"Atlantic Management Center, Inc.", "153903802"
"Advanced Technology Group Inc", "848452090"
"International Cartridge Corporation", "840215854"
"Capitol Digital Document Solutions", "807680421"
"Fleet Management Solutions, Inc.", "141544648"
"Rita's Tape Media LLC", "001573596"
"FERBAK, INC.", "103041182"
"Presidential Aviation, Inc.", "036039951"
"Tactical Medical Solutions, Inc.", "131480662"
"Tidewater Distributors, LLC", "802275391"
"Executive Information Systems, LLC", "938289527"
"Communications-Applied Technology Company", "081040214"
"Advantage Technologies, Inc.", "150736700"
"Seva Technical Services, Inc.", "807941625"
"Pacific Link International, Corp.", "809643125"
"Cogent Solutions Inc", "004088980"
"Actionable Intelligence Technologies, Inc.", "109448030"
"D'Tel Communications, Inc", "108319633"
"Potomacwave Consulting, Inc.", "809019180"
"Data-Pages, Inc.", "056294614"
"Indev, LLC", "078577552"
"Wicklander Zulawski and Associates, Inc.", "047182209"
"ABM Industry Groups, LLC", "080590937"
"C & M Truck & Tire Repair Corp", "175124957"
"A-1 Freeman Relocation Services, Inc.", "026498019"
"Osirus, Inc.", "023170694"
"Component Sourcing Group", "785091062"
"Classic Air Charter Inc.", "961704876"
"Managed Care Advisors, Inc.", "001727135"
"JDG Associates, Inc.", "624408167"
"Perfect Fit", "557049830"
"Migrant Clinicians Network", "826662421"
"Pma 13, Inc.", "045281529"
"Wexler Technical Solutions, Inc.", "184347024"
"Scif Solutions, Inc.", "169942591"
"Utah Communications Authority", "001376735"
"Cloudburst Technologies LLC", "192942972"
"Buckstaff Public Safety, Inc.", "076881627"
"Hrworx, LLC", "130902872"
"Saf Eng Associates, Inc", "786065052"
"Kusar Court Reporters & Legal Services, Inc.", "617635735"
"Jeremy Meyer", "801957981"
"Breaching Technologies, Inc.", "168091937"
"B5 Systems, Inc.", "828777867"
"Global Infinity Enterprise Limited Liability Company", "079832637"
"Mlinqs, LLC", "131336773"
"Premium Parking Service LLC", "364156468"
"Nelson Enterprise Technology Services LLC", "827022141"
"Geo-Med, LLC", "166569850"
"Firelake Construction, Inc.", "966127768"
"Carol Davis Reporting, Records & Video, Inc.", "797524352"
"Bovard Inc", "038973392"
"Boss Innovation & Marketing Inc.", "093019953"
"Atlantic Petroleum Mineral Resources", "006772929"
"Nc4 Public Sector LLC", "610509478"
"Ucc-Kp Investment, LLC", "080408824"
"Adams Evidence Grade Technology, Inc.", "014514541"
"Sherburne, County of (inc)", "784134470"
"Immediate System Resources, Inc", "001742662"
"Valytics, LLC", "786569272"
"Quality Coast Incorporated", "791120124"
"Eclipse Business Group, Inc.", "828373006"
"Tech Ops Specialty Vehicles LLC", "080524318"
"Response Marketing, Inc.", "071351449"
"Neo Technologies, Inc.", "613208388"
"Smithmyer Electronics Inc", "184227973"
"Heartsafe America, Inc.", "191418933"
"Jetico Inc. Oy", "540775988"
"Comcast Cable Communications, LLC", "080425729"
"Elite Shooting Sports LLC", "079488432"
"TECHNOLOGY - MANAGEMENT & INNOVATIVE SOLUTIONS, LLC", "135665169"
"F C I Tech Inc.", "622350184"
"PACIFIC LIGHTING MANAGEMENT, INC", "190815519"
"Midwest Security Services, Inc", "078622984"
"Phoenix Trading Inc.", "879289254"
"Bottom Line Military Sales LLC", "146850255"
"Axiscore, LLC", "618932227"
"Pg Public Services, LLC", "133661020"
"Videntifier Technologies ehf.", "365731339"
"Concealed Technology Services Inc.", "038567223"
"Associated Services Inc", "783080526"
"Step Two Investments LLC", "123478914"
"Compass House", "781162391"
"KWizCom Corporation", "243559783"
"Sperry West Inc", "786235663"
"Global Systems of America Corporation", "827839981"
"Carey & Company, Ltd.", "124333886"
"Child Rescue Coalition, Inc.", "070939304"
"U.S. TACTICAL SUPPLY INC.", "021725457"
"New Life Chinese Laundry Inc", "029127727"
"Benchmark Filing & Shelving Systems", "009307336"
"Xrad Tele-Services Inc", "167448955"
"SYSTEC GROUP LLC", "159987093"
"The Viking Corporation", "090031253"
"Phonoscope, Inc.", "080560682"
"Neostek, Inc", "961615924"
"Evacusled Inc", "201786600"
"The Nakamoto Group Inc", "133090261"
"A&M Capital-Gp, LP", "079659453"
"Montrose Air Quality Services, LLC", "079627382"
"Acams Inc", "556820459"
"Pcs Enterprises, Inc.", "004841107"
"Magnet Forensics Usa, Inc.", "080001807"
"Folsom Shooting Club Inc", "945193316"
"Phoenix Supply, LLC", "969347496"
"New Dimension Awards Inc", "021522834"
"The Cresston Company LLC", "125535182"
"Insyte LLC", "167095418"
"Capital Shredder Corp", "966648503"
"Vohne Liche Kennels Inc", "957578685"
"Gps Intelligence LLC", "153956417"
"Allways Shred, Inc.", "932061653"
"Recall Technologies, Inc.", "949171268"
"Prado Family Shooting Range", "064836799"
"Printree LLC", "832503622"
"Bowhead Support Group LLC", "614832819"
"Technical Maintenance and Services Corp.", "151480134"
"Stat Courier Service, Inc.", "045155244"
"Haynes Security Corp", "068025683"
"Creative Corrections, L.L.C.", "143530926"
"Close Quarters Tactical, LLC", "965105120"
"Packet Forensics, LLC", "809189173"
"Green It Systems Group", "966572682"
"M. L. Benjamin Enterprises Inc.", "194508131"
"Enterprise Technology Solutions, Inc.", "005050346"
"SAMPSON PARTNERS LLC", "124623039"
"Ems Safety Services Inc", "878854504"
"Callyo 2009 Corp.", "969239529"
"Winnow Management Corporation", "613026223"
"American Firearms School, LLC", "005180273"
"Bromberg & Associates, L.L.C.", "949053185"
"Aurora Sportsmens Club", "833719065"
"Ecology Mir Group LLC", "079812302"
"Lurk Enterprise Solutions LLC", "079359314"
"Varnermiller, LLC", "797039224"
"Thomson Reuters Special Services LLC", "827821757"
"Bse Performance LLC", "088057158"
"360 Total Concept Consulting, Inc.", "081113627"
"Cbt Supply, Inc.", "019979132"
"Barling Bay, LLC", "135726185"
"Sourcelinq LLC", "106744142"
"Blueline Tactical and Police Supply, LLC", "057900928"
"RIVER CITY RANGE, LLC", "038524929"
"Dentrust Dental International, Inc.", "964551386"
"Hariom Inc.", "198705100"
"Genesis Resource Inc", "805985959"
"Qbase-Mcneil Integrated Solutions Rllp", "961746620"
"Goaltex Corp", "808233274"
"Young Scale Co., LLC", "060643533"
"Federal Defense Solutions, Inc.", "830363177"
"EZ Print Supplies, Llc.", "141254842"
"Angeles Shooting Ranges Inc", "075303198"
"Nord Atlantic Trading Inc", "878515956"
"Treasure Electronics Inc", "078665809"
"Ahtna Support and Training Services, LLC", "609636910"
"Acme Supply Co., Ltd.", "797745718"
"Designsmith Ltd", "615308954"
"Government Training Institute, Inc.", "132095394"
"Presenta Plaque Corporation", "161619705"
"International Satellite Services, Inc.", "048822402"
"Benefit Planning, Inc.", "790801765"
"Cold Box Express, LLC", "079481448"
"Evigilant.com Incorporated", "125744040"
"Safe Restraints, Inc.", "160853300"
"Interior Facilities Design LLC", "184200785"
"Atlantic Signal LLC", "167789531"
"Nterone Corporation", "825060309"
"Foster Products, Inc.", "780519752"
"Rstudio, Inc.", "078643840"
"Hartford Parking Authority", "131242658"
"Eagle Hill Consulting, LLC", "137206202"
"Delitor Inc.", "065717948"
"WHISPERING PINES ENTERPRISES, LTD", "164947314"
"Tomahawk Defense, LLC", "079869344"
"Fronteo Government Services, Inc.", "623624751"
"Premium Stationers, Inc.", "079587040"
"Family First 5 Inc.", "025163324"
"Specialty Cartridge, Inc.", "051749415"
"Government Marketing and Procurement, L.L.C.", "123922788"
"Silas Frazier Realty LLC", "933766441"
"Neil S Hibler PHD Abbp", "059954201"
"N California Regional Public Safety Training Authority", "147851054"
"Ewing Electronics, Inc", "556915130"
"Action Workplace Service", "843444964"
"Zee Technologies, Inc.", "167525638"
"Wolcott Guns Inc", "827284519"
"The Highlands Ranch Law Enforcement Training Foundation", "126111272"
"Telco Solutions Inc", "175222520"
"Silent Guard Systems Inc", "003210408"
"Risklens, Inc.", "968509575"
"7655762 Canada Inc", "246787951"
"Adapt Pharma Inc.", "079673287"
"Tenica and Associates LLC", "828039789"
"Engel Ballistic Research Inc", "058308508"
"Pacific Datacom Systems Inc.", "144376696"
"Sendum Wireless Corporation", "208142526"
"Treefort Inc", "120559203"
"Mystaire Inc.", "005506826"
"JESUIT REFUGEE SERVICE USA", "112281840"
"Modular Concepts, Inc.", "016538643"
"Mil-Comm Group International, LLC", "079618290"
"Paul Palmer", "618518745"
"Ecovantage Energy Inc.", "042395868"
"Mountain Rf Sensors, Inc.", "079251332"
"Ecs Federal, LLC", "806026852"
"Millennium Health & Fitness Inc.", "026173034"
"World Wide Enterprises Inc", "624462131"
"Tonawanda Sportsmen's Club Inc", "074019126"
"Kell Systems Inc.", "011540031"
"Interconnect Communication Specialists", "937939460"
"Lighted Signs Direct, Inc", "787227599"
"ML Click Marketing LLC", "012480808"
"Hamilton Enterprises, LLC", "825487130"
"Seattle Police Athletic Assoc", "839709532"
"Arcos De Oro, LLC", "832229079"
"Global Traveler LLC", "080000464"
"Alaska Native General Services, LLC", "144280943"
"Science Applications International Corporation", "078883327"
"Commercial Moving Solutions, Inc", "004791238"
"Jack Knelly's Office Furniture Specialties, Inc.", "139137983"
"Interpark LLC", "969943864"
"U.S. Federal Solutions, Inc.", "078711150"
"Rudman Wink Associates, LLC", "806873761"
"Kevin Potter", "023897666"
"SOUTH METRO PUBLIC SAFETY TRAINING FACILITY", "144579815"
"SMD Corporation", "173649976"
"V3 Gate Team, LLP", "078374272"
"R A Mechanical & Sons, Inc.", "932463313"
"Lt Business Solutions, LLC", "133297288"
"Gc Alliance, LLC", "021569329"
"Red Carrot Inc", "031689583"
"Setcan Corporation", "243275612"
"Advanced Marketing & Sales Associates", "008299393"
"Integrated Exhibits Inc", "157597522"
"Installation Morale Welfare Recreation Fund", "182066402"
"Hill & Mac Gunworks LLC", "044976271"
"Costcontrol USA LLC", "807873125"
"Marden Electric L.L.C.", "790637545"
"Pat V. Mack, Inc.", "963846097"
"Joliva Trucking LLC", "828709589"
"Pn Automation, Inc.", "184174394"
"L C Npee", "831108928"
"Express Alliance Courier, Inc.", "167013189"
"Hale Outdoor Products, LLC", "809953081"
"AF&s Products & Services, Inc.", "606936271"
"Akima Global Services, LLC", "832895085"
"Boofighter LLC", "011949569"
"Giant Oak, Inc.", "831127738"
"Norfolk Safe Company", "078689554"
"Hullihens Lawn Care Inc", "046859745"
"Potomac Forum Ltd", "011667040"
"Sandoval Custom Creations, Inc.", "958313769"
"Hunter Systems Group Inc.", "197071892"
"Valdata Telecom", "830952458"
"National Hospitality Management", "948828236"
"Tailored Training Programs, LLC", "783194116"
"Metrotec, Inc.", "022676698"
"MATT BURNS LTD", "217402193"
"PRIORITY COURIER", "943629535"
"Act Services Corp", "078360656"
"Go & Zalez Inc.", "957523111"
"J & S Power Solutions Inc", "008172632"
"Chainalysis Inc.", "079827246"
"Smartystreets, LLC", "032543716"
"Entco Government Software LLC", "080509660"
"Southside Garage and Used Auto Parts LLC", "026970634"
"Vonhof, Jeanne M Arbitrator and Mediator", "002906605"
"Rosamilia Builders", "959263484"
"Air Management Solutions Inc", "027287429"
"Richard Tift T", "191386275"
"Maya Interpreters", "010406543"
"Global Reach Petroleum, LLC", "080511443"
"Westwind Team LLP", "078374942"
"Deaf Access Solutions, Inc.", "078748913"
"Marinus Analytics LLC", "079410657"
"Copper River Enterprise Services, LLC", "079463764"
"Lloyd Interest, LLC", "841284099"
"Vound Colorado, Ltd.", "079453470"
"Griffeye Inc.", "080638467"
"US Anodizing, Inc", "015606251"
"St Net-Apptis Firstsource Joint Venture", "615381907"
"Aircraft Transport Services, Inc.", "012630106"
"Bowhead Communication Services, LLC", "078825612"
"California Highway Patrolman's Club", "111899506"
"X Brand Mattress LLC", "080557824"
"AMPED SOFTWARE INC.", "080040706"
"Patriot Comm", "078368261"
"Simple Technology Solutions, Inc.", "079197169"
"Cih Support, LLC", "039953744"
"Imperial Valley Rifle & Pistol Association", "141089487"
"Zephyr Aviation, LLC", "790555457"
"Wabana Group LLC", "965431047"
"Volexity, Inc.", "079209419"
"ARS Aleut Construction, LLC", "080406524"
"Conduit Transcriptions, LLC", "080510300"
"FS PARTNERS LLP", "078374094"
"Hubstream, Inc", "079254474"
"DIALTONESERVICES L.P.", "080388745"
"Jasper Sawyer Company LLC", "969820914"
"Jacques Catering of NY Inc", "556308158"
"24/7 Enterprises, LLC", "153476226"
"Range 54, LLC", "079518541"
"Enterprise Resource Planned Systems International, LLC", "831860338"
"Tinfoil Security Inc", "927481239"
"Asset Security Tracking Recovery, Llc.", "944508394"
"Paul Radvany", "079944512"
"Obsidian Integration LLC", "080333696"
"Buddy's Snack Bar", "828164087"
"Proxdose Radiation Sensors, LLC", "079845709"
"Cox Arizona Telcom, L.L.C.", "131666567"
"Varner Miller Lori", "844960232"
"Gulf Breeze Properties, II L.L.C.", "156123916"
"Infocus Health, LLC", "965708477"
"360 It Integrated Solutions", "962373515"
"Jennifer Marquardt", "080688784"
"Veteran Technology Partners II LLC", "081030226"
"Michael C Macqueen", "080540981"
"JOHN M DONOGHUE", "148076107"
"Anthony Ibeagha", "828604871"
"Model Concept Communications, LLC", "080747506"
"WISE Corp.", "687763879"
"SIS Global Solutions, LLC", "967796173"
"Seneviratne, Anusha", "081154401"
"San Diego Power, LLC", "080956862"
"Nathaniel Howell", "080526889"
"Todd Radford", "137672239"
"Halo Group, Inc.", "621534887"
"County of Santa Clara", "155922172"
"Fiskars Brands, Inc.", "803836345"
"Trusted Translations, Inc.", "142063333"
"County of Hillsborough", "148102890"
"Commonwealth of Virginia", "003133790"
"Keysight Technologies, Inc.", "058215778"
"The Mitre Corporation", "040540304"
"Northrop Grumman Systems Corporation", "015247885"
"Tucson Hotels LP", "068267934"
"State of Maryland", "001969443"
"State of Connecticut", "004534830"
"Spectrum Security Services, Inc.", "618954465"
"Spectrum Management Holding Company, LLC", "075165949"
"County of San Diego", "009581646"
"Federal Prison Industries, Inc", "103385519"
"Maryland Dept of Public Safety & Correctional Services", "879016178"
"Federal Express Corporation", "610703282"
"County of Bonner", "040179749"
"Sherburne, County of (inc)", "040828980"
"City of Colma", "962843496"
"Federal Express Corporation", "185743655"
"Federal Prison Industries, Inc", "622178747"
"City of Philadelphia", "039723387"
"County of Imperial", "148015449"
"State of Texas", "002537595"
"Booz Allen Hamilton Inc.", "162823777"
"County of Latah", "111642997"
"State of Michigan", "054698428"
"Crime Information Center, Arkansas", "096873760"
"Aimpoint, Inc.", "609074612"
"Government of The United States", "161906193"
"Unifirst Corporation", "126166768"
"General Dynamics Ordnance and Tactical Systems, Inc.", "961846417"
"L3 Technologies, Inc.", "118052013"
"Marriott International, Inc.", "098696925"
"County of Santa Clara", "069118289"
"Olin Corporation", "088736686"
"City of New York", "073299026"
"Enterprise Services LLC", "077817617"
"San Diego Association of Governments", "094016941"
"Deloitte & Touche LLP", "187107958"
"Eaton Corporation", "038006110"
"Deloitte Consulting LLP", "019121586"
"L3 Technologies, Inc.", "112753194"
"United Parcel Service Co.", "155953086"
"Office Depot, Inc.", "614345809"
"Wespavia SA", "371972030"
"City of Long Beach", "197871515"
"Life Fitness, Inc.", "120852520"
"County of Musselshell", "046263810"
"Michigan Department of State Police", "805340247"
"County of Twin Falls", "070922810"
"United Parcel Service, Inc. (oh)", "128729373"
"County of Bonner", "603547944"
"Ernst & Young LLP", "095347159"
"City of Orlando", "055947485"
"Time Warner Cable Enterprises LLC", "962685736"
"Canon U.S.A., Inc.", "116194192"
"County of Pinal", "074447095"
"Six Continents Hotels, Inc.", "088603548"
"Caci-Iss, Inc.", "616205675"
"County of Latah", "060052750"
"General Dynamics Mission Systems, Inc.", "787800114"
"Hit Portfolio I Misc Trs, LLC", "057370025"
"County of Sacramento", "071550800"
"City of Philadelphia", "002323145"
"Grant Thornton LLP", "128159105"
"Town of Islip", "068034438"
"Glock Privatstiftung", "648551240"
"County of Santa Clara", "160530572"
"County of Orange", "877474973"
"Security Solutions Group, L.L.C.", "962380692"
"County of Orange", "009657602"
"The Centurion Group Inc", "155096154"
"Federal Prison Industries, Inc", "626627459"
"University of Maryland", "790934285"
"County of Lane", "030786248"
"County of Kern", "063811350"
"City of Mesa", "020141404"
"Johnson Controls Security Solutions LLC", "007507671"
"Leidos, Inc.", "967488581"
"Konica Minolta Business Solutions U.S.A., Inc.", "626578041"
"County of San Diego", "031779838"
"New York State Department of Motor Vehicles", "806780730"
"City of Hurst", "073155822"
"County of Imperial", "073354573"
"Dev Technology Group, Inc.", "105667401"
"Vermont State Colleges", "807840608"
"Xerox Corporation", "039860122"
"Dun & Bradstreet, Inc.", "135838084"
"Schweizerische Eidgenossenschaft", "485642987"
"TRIDENT ACQUISITION EAD", "523806806"
"County of Ventura", "868478850"
"Peraton Inc.", "125834866"
"County of Ventura", "066691122"
"Executive Office of The State of North Carolina", "872904193"
"Harris Corporation", "021715206"
"Shred-It USA LLC", "176091424"
"County of Clark", "030783757"
"City of New York", "054977231"
"Leidos, Inc.", "967488987"
"ABM Parking Services, Inc.", "787799667"
"Relx Inc.", "877672683"
"Professionals, (the), LLC", "128256950"
"San Diego Association of Governments", "073370843"
"State of Arkansas", "065320400"
"Texas Workforce Commission", "033278685"
"Harris Corporation", "101474992"
"Science Applications International Corporation", "148095086"
"Sprint Communications Company L.P.", "603493677"
"Hit Portfolio I Misc Trs, LLC", "080997786"
"Environmental Quality, Texas Commission On", "808805154"
"City of Long Beach", "075295832"
"Harris Corporation", "184575108"
"Town of Islip", "947905766"
"City of Vineland", "073739955"
"City of Orlando", "070343640"
"Prudential Overall Supply", "099376014"
"Laboratory Corporation of America", "032093028"
"The Village of Oak Lawn", "010588770"
"Department of Emergency Services and Public Protection", "171880859"
"CSRA LLC", "043991108"
